scenario,feature,mean_real,mean_synth,std_real,std_synth,min_real,min_synth,max_real,max_synth,cv_rmse_pct,ks_stat,ks_pvalue
Edge,T_supply,28.9915,28.897,6.3561,6.3707,15.7575,15.1966,40.0,41.6173,30.912,0.0115,0.019
Edge,Q_available,26304.0773,25981.5936,11949.4176,11954.8951,1424.1781,0.0,47000.0,49822.4117,62.637,0.0133,0.0041
Edge,Exergy_DT,738.355,726.3002,558.8914,555.202,1.8687,0.0,1927.4847,2092.3712,105.226,0.0219,0.0
Edge,Q_negotiated,24988.8734,24938.4826,11351.9467,11363.4063,1352.9692,206.3972,44650.0,47825.0595,64.954,0.0115,0.019
Edge,it_load_frac,0.775,0.776,0.1299,0.1302,0.5046,0.4928,1.0,1.0,23.803,0.0069,0.3812
Mid,T_supply,24.0406,24.0017,6.3277,6.3782,10.8656,10.2904,35.0,36.4611,37.29,0.0127,0.0072
Mid,Q_available,889835.6488,887103.5152,603627.8184,599007.1617,0.0,0.0,1950000.0,2091451.2797,95.525,0.0282,0.0
Mid,Exergy_DT,19884.8409,20230.8828,19376.9722,19492.3138,0.0,0.0,64673.843,70235.5583,133.692,0.0342,0.0
Mid,Q_negotiated,845343.8663,849716.0185,573446.4275,572474.0644,0.0,0.0,1852500.0,2014633.4674,94.795,0.0303,0.0
Mid,it_load_frac,0.775,0.7733,0.1299,0.1303,0.5046,0.4878,1.0,1.0,23.564,0.0081,0.2002
Hyperscale,T_supply,21.6074,21.5847,4.8457,4.8583,11.5182,11.2245,30.0,31.3546,31.465,0.0122,0.0105
Hyperscale,Q_available,17417909.671,17459623.9612,12228841.9319,12225690.1678,0.0,0.0,39000000.0,42407979.9206,100.102,0.0345,0.0
Hyperscale,Exergy_DT,294568.8279,298292.5699,293554.1133,293157.758,0.0,0.0,980863.304,1052396.8485,141.646,0.0383,0.0
Hyperscale,Q_negotiated,16547014.1874,16629313.409,11617399.8353,11631399.0607,0.0,0.0,37050000.0,40681437.2207,99.182,0.0332,0.0
Hyperscale,it_load_frac,0.775,0.7715,0.1299,0.13,0.5046,0.4802,1.0,1.0,23.192,0.0131,0.005
