job_id,num_inst,submit_time,num_cpu,num_gpu,gpu_type,duration,user
0,1.0,0,2.0,0.0,CPU,34,d4d51aca8806
1,12.0,3,6.0,0.25,T4,15748,d4d51aca8806
2,1.0,5,6.0,1.0,MISC,84,a8192d6b0ae9
3,1.0,21,18.0,1.0,T4,46,c7152ce0fec1
4,1.0,21,6.0,1.0,MISC,80,7b76597f4283
5,1.0,36,6.0,1.0,MISC,100,7b76597f4283
6,1.0,41,6.0,0.25,T4,41382,9cc55781f4a6
7,1.0,51,18.0,1.0,MISC,1825,ecaa161a8367
8,1.0,51,8.0,0.0,CPU,1228,3d5e1fb89ab2
9,1.0,65,2.0,0.0,CPU,34,d4d51aca8806
10,12.0,67,6.0,0.25,T4,15740,d4d51aca8806
11,1.0,75,6.0,1.0,MISC,63,a8192d6b0ae9
12,1.0,98,6.0,1.0,T4,24,552e00661526
13,1.0,99,8.0,1.0,T4,54,b13fd7656207
14,1.0,109,8.0,0.0,CPU,1229,3d5e1fb89ab2
15,1.0,110,8.0,0.0,CPU,1229,3d5e1fb89ab2
16,1.0,143,8.0,0.05,T4,105,8136a0371edc
17,1.0,152,8.0,0.05,T4,508,8136a0371edc
18,1.0,210,8.0,0.05,T4,527,8136a0371edc
19,1.0,215,8.0,0.05,T4,276,8136a0371edc
20,1.0,238,8.0,0.0,CPU,2028,3d5e1fb89ab2
21,1.0,255,8.0,0.05,T4,34,8136a0371edc
22,1.0,257,6.0,1.0,MISC,37,5b1345f03aa1
23,1.0,259,6.0,0.25,MISC,86,5b1345f03aa1
24,1.0,296,8.0,0.0,CPU,1538,3d5e1fb89ab2
25,1.0,298,6.0,0.5,MISC,180,f134c9ec05e3
26,1.0,305,8.0,0.05,T4,387,8136a0371edc
27,1.0,308,6.0,1.0,MISC,293,0fe7087caa8a
28,1.0,312,6.0,2.0,T4,16,45bd92802aa9
29,1.0,314,6.0,0.25,MISC,58444,de69ddc1064e
30,1.0,320,6.0,0.5,MISC,44062,de69ddc1064e
31,1.0,343,6.0,1.0,T4,16,33018f1f6e95
32,1.0,349,6.0,1.0,T4,16,4d95fa282778
33,1.0,351,8.0,0.0,CPU,1228,3d5e1fb89ab2
34,1.0,355,8.0,0.0,CPU,1229,3d5e1fb89ab2
35,1.0,355,8.0,0.0,CPU,1228,3d5e1fb89ab2
36,1.0,355,18.0,1.0,MISC,2101,5b1345f03aa1
37,1.0,356,8.0,0.0,CPU,1227,3d5e1fb89ab2
38,1.0,356,6.0,1.0,MISC,184,7203aa95a9af
39,1.0,360,6.0,1.0,MISC,46,5b1345f03aa1
40,1.0,377,6.0,1.0,T4,114,7dd1a2bf0795
41,1.0,397,6.0,1.0,MISC,1072,df2899e220e8
42,1.0,400,8.0,0.0,CPU,1229,3d5e1fb89ab2
43,1.0,404,6.0,1.0,T4,649,33018f1f6e95
44,1.0,405,8.0,0.0,CPU,1228,3d5e1fb89ab2
45,1.0,410,8.0,0.0,CPU,1227,3d5e1fb89ab2
46,1.0,413,8.0,0.0,CPU,1229,3d5e1fb89ab2
47,1.0,417,6.0,1.0,MISC,555,dca3db6263d5
48,5.0,420,6.0,0.0,CPU,967,6c545bed7d03
49,1.0,422,8.0,0.05,T4,1634,8136a0371edc
50,30.0,423,4.0,0.25,MISC,903,6c545bed7d03
51,1.0,443,6.0,1.0,MISC,53,5b1345f03aa1
52,1.0,449,8.0,0.05,T4,407,8136a0371edc
53,1.0,451,6.0,1.0,T4,266,45bd92802aa9
54,1.0,462,6.0,0.25,MISC,46,58540f191766
55,1.0,465,18.0,1.0,MISC,159596,5b1345f03aa1
56,1.0,465,18.0,1.0,MISC,28609,5b1345f03aa1
57,1.0,467,8.0,0.0,CPU,1227,3d5e1fb89ab2
58,1.0,469,18.0,1.0,MISC,17,5b1345f03aa1
59,1.0,470,18.0,1.0,MISC,2306,5b1345f03aa1
60,1.0,478,6.0,0.0,CPU,63,5b1345f03aa1
61,1.0,480,6.0,1.0,MISC,55,5b1345f03aa1
62,1.0,509,6.0,1.0,MISC,66,42aa9724a88c
63,1.0,509,6.0,1.0,MISC,1906,a8192d6b0ae9
64,1.0,519,6.0,1.0,T4,54,7dd1a2bf0795
65,1.0,527,8.0,0.0,CPU,1228,3d5e1fb89ab2
66,1.0,527,8.0,0.0,CPU,1230,3d5e1fb89ab2
67,1.0,533,0.1,0.1,MISC,3163,58540f191766
68,1.0,536,6.0,1.0,MISC,33,5b1345f03aa1
69,1.0,540,6.0,1.0,MISC,37,354e3b81c515
70,1.0,549,6.0,1.0,T4,15,45bd92802aa9
71,1.0,550,10.0,0.5,T4,437,c4cbaac9966d
72,1.0,554,8.0,0.05,T4,85,8136a0371edc
73,1.0,557,8.0,0.05,T4,226,8136a0371edc
74,1.0,559,6.0,1.0,T4,325,1480b75a8c96
75,1.0,573,1.0,0.0,CPU,13,d4d51aca8806
76,10.0,576,6.0,0.25,T4,31,d4d51aca8806
77,1.0,596,6.0,1.0,MISC,18,de69ddc1064e
78,1.0,618,6.0,1.0,T4,104,7dd1a2bf0795
79,1.0,646,6.0,1.0,T4,25,45bd92802aa9
80,1.0,649,6.0,1.0,MISC,164,5b1345f03aa1
81,1.0,656,6.0,1.0,MISC,392,eea150bdfdd6
82,1.0,662,6.0,1.0,T4,16,45bd92802aa9
83,1.0,687,6.0,0.0,CPU,135,b3bfe9b79bb5
84,8.0,690,4.0,1.0,MISC,81,b3bfe9b79bb5
85,1.0,699,10.0,0.5,T4,347,c4cbaac9966d
86,1.0,704,1.0,0.0,CPU,6684,b3bfe9b79bb5
87,1.0,705,8.0,0.0,CPU,1227,3d5e1fb89ab2
88,50.0,707,4.0,0.5,MISC,6621,b3bfe9b79bb5
89,1.0,713,8.0,0.0,CPU,1229,3d5e1fb89ab2
90,1.0,715,6.0,1.0,MISC,522,de69ddc1064e
91,1.0,719,8.0,0.05,T4,2317,8136a0371edc
92,1.0,720,6.0,1.0,T4,74,7dd1a2bf0795
93,1.0,733,8.0,0.05,T4,4511,8136a0371edc
94,1.0,747,8.0,0.05,T4,1453,8136a0371edc
95,1.0,747,8.0,0.05,T4,5858,8136a0371edc
96,1.0,748,6.0,1.0,T4,16,45bd92802aa9
97,1.0,754,6.0,1.0,T4,828,27390ef59c1f
98,8.0,755,8.0,0.0,CPU,8156,792f892e0fad
99,28.0,758,6.0,0.25,MISC,8094,792f892e0fad
100,1.0,768,8.0,0.0,CPU,1539,3d5e1fb89ab2
101,1.0,780,6.0,0.0,CPU,5845,edc10645cc3f
102,1.0,780,6.0,0.25,MISC,64691,de69ddc1064e
103,10.0,783,6.0,0.25,MISC,5794,edc10645cc3f
104,20.0,796,6.0,0.25,T4,54,d4d51aca8806
105,1.0,800,6.0,1.0,T4,20277,1480b75a8c96
106,2.0,804,18.0,2.0,MISC,53868,262fbc8b0c98
107,1.0,826,6.0,1.0,T4,54,7dd1a2bf0795
108,1.0,833,6.0,1.0,T4,946,45bd92802aa9
109,1.0,846,6.0,0.25,MISC,80,5b1345f03aa1
110,1.0,858,6.0,0.0,CPU,325,b3bfe9b79bb5
111,8.0,860,4.0,0.25,MISC,271,b3bfe9b79bb5
112,1.0,864,6.0,0.25,MISC,33429,de69ddc1064e
113,1.0,879,6.0,1.0,T4,16,45bd92802aa9
114,1.0,882,6.0,1.0,MISC,33,5b1345f03aa1
115,1.0,886,8.0,0.0,CPU,1227,3d5e1fb89ab2
116,1.0,886,8.0,0.0,CPU,1538,3d5e1fb89ab2
117,1.0,888,6.0,1.0,MISC,31,5b1345f03aa1
118,20.0,889,6.0,0.0,CPU,12534,5b1345f03aa1
119,1.0,895,6.0,1.0,T4,3993,784dbd948d22
120,50.0,896,6.0,0.25,MISC,12468,5b1345f03aa1
121,1.0,899,6.0,2.0,MISC,35,f14128db0160
122,44.0,912,18.0,1.0,T4,2738,272f59587dd6
123,1.0,915,6.0,1.0,T4,24,1480b75a8c96
124,1.0,922,6.0,1.0,T4,55,7dd1a2bf0795
125,1.0,923,8.0,0.05,T4,3665,8136a0371edc
126,7.0,942,6.0,0.0,CPU,1671,6ffa9048390e
127,40.0,945,4.0,0.5,MISC,1606,6ffa9048390e
128,8.0,954,8.0,0.0,CPU,6387,792f892e0fad
129,1.0,955,6.0,0.1,MISC,51,58540f191766
130,28.0,957,6.0,0.25,MISC,6332,792f892e0fad
131,1.0,959,6.0,0.1,MISC,36,58540f191766
132,1.0,960,6.0,0.1,MISC,58,58540f191766
133,1.0,960,6.0,0.1,MISC,51,58540f191766
134,1.0,961,6.0,0.1,MISC,50,58540f191766
135,1.0,966,6.0,0.1,MISC,59,58540f191766
136,1.0,966,6.0,0.1,MISC,45,58540f191766
137,1.0,966,6.0,0.1,MISC,71,58540f191766
138,1.0,967,6.0,0.1,MISC,80,58540f191766
139,1.0,967,6.0,0.1,MISC,79,58540f191766
140,1.0,968,6.0,0.1,MISC,77,58540f191766
141,1.0,968,6.0,0.1,MISC,77,58540f191766
142,1.0,969,6.0,0.1,MISC,77,58540f191766
143,1.0,975,6.0,0.1,MISC,74,58540f191766
144,1.0,975,6.0,0.1,MISC,73,58540f191766
145,1.0,975,6.0,0.1,MISC,72,58540f191766
146,1.0,975,6.0,0.1,MISC,72,58540f191766
147,1.0,978,6.0,0.1,MISC,77,58540f191766
148,1.0,978,6.0,0.1,MISC,77,58540f191766
149,1.0,978,6.0,0.1,MISC,80,58540f191766
150,1.0,978,6.0,0.1,MISC,79,58540f191766
151,1.0,978,6.0,0.1,MISC,77,58540f191766
152,1.0,984,6.0,0.1,MISC,83,58540f191766
153,1.0,985,6.0,0.1,MISC,72,58540f191766
154,1.0,985,6.0,0.1,MISC,81,58540f191766
155,1.0,985,6.0,0.1,MISC,84,58540f191766
