step,scenario,T_CabRet_C,T_CabSup_C,T_supply_C,Q_available_kW,Q_EHX1_kW,T_EHX_HotSup_C,T_EHX_HotRet_C,m_flow_kgs,m_flow_HWL_kgs,t_sim_h
0,LC_Frontier_5Cabinet,28.959,26.15,28.959,1615.76,403.94,23.268,25.32,6.5613,113.0702,3.333
1,LC_Frontier_5Cabinet,28.867,26.124,28.867,1614.61,403.65,23.266,25.317,6.5042,113.0355,3.337
2,LC_Frontier_5Cabinet,28.802,26.112,28.802,1613.44,403.36,23.264,25.313,6.4393,113.0027,3.342
3,LC_Frontier_5Cabinet,28.76,26.115,28.76,1612.23,403.06,23.261,25.31,6.3675,112.9688,3.346
4,LC_Frontier_5Cabinet,28.731,26.128,28.731,1610.95,402.74,23.259,25.306,6.2897,112.93,3.35
5,LC_Frontier_5Cabinet,28.711,26.147,28.711,1609.49,402.37,23.256,25.302,6.2066,112.8744,3.354
6,LC_Frontier_5Cabinet,28.715,26.169,28.715,1607.72,401.93,23.254,25.298,6.1191,112.7881,3.358
7,LC_Frontier_5Cabinet,28.745,26.208,28.745,1605.61,401.4,23.251,25.294,6.0277,112.6681,3.362
8,LC_Frontier_5Cabinet,28.781,26.254,28.781,1603.29,400.82,23.249,25.291,5.933,112.5268,3.367
9,LC_Frontier_5Cabinet,28.808,26.299,28.808,1600.98,400.24,23.246,25.287,5.835,112.3909,3.371
10,LC_Frontier_5Cabinet,28.864,26.348,28.864,1598.87,399.72,23.244,25.282,5.7341,112.2781,3.375
11,LC_Frontier_5Cabinet,28.965,26.428,28.965,1597.05,399.26,23.242,25.278,5.6307,112.1984,3.379
12,LC_Frontier_5Cabinet,29.071,26.517,29.071,1595.49,398.87,23.239,25.274,5.5252,112.1465,3.383
13,LC_Frontier_5Cabinet,29.174,26.607,29.174,1594.1,398.53,23.237,25.27,5.4182,112.1137,3.388
14,LC_Frontier_5Cabinet,29.279,26.7,29.279,1592.82,398.21,23.234,25.266,5.31,112.0919,3.392
15,LC_Frontier_5Cabinet,29.38,26.793,29.38,1591.57,397.89,23.232,25.262,5.201,112.0733,3.396
16,LC_Frontier_5Cabinet,29.477,26.885,29.477,1590.3,397.58,23.229,25.258,5.0917,112.0537,3.4
17,LC_Frontier_5Cabinet,29.564,26.974,29.564,1589.0,397.25,23.227,25.254,4.9824,112.0295,3.404
18,LC_Frontier_5Cabinet,29.652,27.069,29.652,1587.66,396.91,23.224,25.25,4.8733,112.0018,3.408
19,LC_Frontier_5Cabinet,29.747,27.173,29.747,1586.36,396.59,23.222,25.246,4.7646,111.9804,3.413
20,LC_Frontier_5Cabinet,29.846,27.28,29.846,1585.22,396.3,23.219,25.243,4.6565,111.9761,3.417
21,LC_Frontier_5Cabinet,29.948,27.391,29.948,1584.25,396.06,23.217,25.239,4.5492,111.9926,3.421
22,LC_Frontier_5Cabinet,30.039,27.501,30.039,1583.4,395.85,23.215,25.236,4.443,112.0241,3.425
23,LC_Frontier_5Cabinet,30.114,27.599,30.114,1582.6,395.65,23.212,25.232,4.3381,112.0639,3.429
24,LC_Frontier_5Cabinet,30.192,27.697,30.192,1581.79,395.45,23.21,25.229,4.2348,112.1055,3.433
25,LC_Frontier_5Cabinet,30.283,27.801,30.283,1580.92,395.23,23.207,25.226,4.134,112.144,3.438
26,LC_Frontier_5Cabinet,30.323,27.895,30.323,1579.95,394.99,23.205,25.223,4.0367,112.1755,3.442
27,LC_Frontier_5Cabinet,30.296,27.932,30.296,1578.88,394.72,23.203,25.22,3.9449,112.1984,3.446
28,LC_Frontier_5Cabinet,30.274,27.957,30.274,1577.69,394.42,23.2,25.217,3.8605,112.2122,3.45
29,LC_Frontier_5Cabinet,30.273,27.992,30.273,1576.37,394.09,23.198,25.214,3.783,112.2156,3.454
30,LC_Frontier_5Cabinet,30.273,28.03,30.273,1574.88,393.72,23.196,25.212,3.7118,112.2046,3.458
31,LC_Frontier_5Cabinet,30.264,28.058,30.264,1573.12,393.28,23.194,25.209,3.6473,112.1673,3.462
32,LC_Frontier_5Cabinet,30.264,28.084,30.264,1571.03,392.76,23.191,25.206,3.5897,112.0988,3.467
33,LC_Frontier_5Cabinet,30.274,28.115,30.274,1568.76,392.19,23.189,25.204,3.539,112.0153,3.471
34,LC_Frontier_5Cabinet,30.3,28.15,30.3,1566.57,391.64,23.187,25.201,3.4949,111.944,3.475
35,LC_Frontier_5Cabinet,30.34,28.195,30.34,1564.59,391.15,23.184,25.198,3.457,111.9007,3.479
36,LC_Frontier_5Cabinet,30.383,28.24,30.383,1562.93,390.73,23.182,25.195,3.4257,111.893,3.483
37,LC_Frontier_5Cabinet,30.428,28.283,30.428,1561.52,390.38,23.18,25.192,3.4016,111.9147,3.487
38,LC_Frontier_5Cabinet,30.499,28.33,30.499,1560.33,390.08,23.178,25.189,3.3906,111.9607,3.492
39,LC_Frontier_5Cabinet,30.596,28.382,30.596,1559.42,389.86,23.176,25.185,3.4201,112.0392,3.496
40,LC_Frontier_5Cabinet,30.69,28.406,30.69,1558.84,389.71,23.173,25.182,3.5045,112.153,3.5
41,LC_Frontier_5Cabinet,30.768,28.387,30.768,1558.59,389.65,23.171,25.178,3.6521,112.3037,3.504
42,LC_Frontier_5Cabinet,30.883,28.342,30.883,1549.34,387.34,23.169,25.175,3.8451,111.3972,3.508
43,LC_Frontier_5Cabinet,31.041,28.326,31.041,1525.0,381.25,23.167,25.171,4.0573,108.9825,3.513
44,LC_Frontier_5Cabinet,31.17,28.26,31.17,1525.74,381.43,23.165,25.168,4.3307,109.2609,3.517
45,LC_Frontier_5Cabinet,31.252,28.152,31.252,1527.87,381.97,23.162,25.165,4.6187,109.6492,3.521
