scenario,feature,mean_real,mean_synth,std_real,std_synth,min_real,min_synth,max_real,max_synth,cv_rmse_pct,ks_stat,ks_pvalue
Edge_LC,T_supply,47.6014,47.5831,1.3365,1.3397,44.7719,44.6438,50.0,50.3401,3.96,0.0072,0.3173
Edge_LC,Q_available,380055.0197,378714.3302,52901.3324,52925.0805,268055.2126,261358.5914,475000.0,487498.0611,19.197,0.0126,0.0076
Edge_LC,Exergy_DT,20103.3447,20030.4786,3547.4323,3551.4553,12958.5397,12228.577,26699.7641,27759.5025,24.615,0.009,0.1136
Edge_LC,Q_negotiated,342049.5177,341858.8406,47611.1992,47668.9756,241249.6913,236439.7195,427500.0,440819.6572,19.908,0.0076,0.2575
Edge_LC,it_load_frac,0.8001,0.8009,0.1114,0.1118,0.5643,0.5552,1.0,1.0,19.779,0.0066,0.442
Mid_LC,T_supply,47.6014,47.5936,1.3365,1.3467,44.7719,44.6017,50.0,50.3087,3.977,0.008,0.2169
Mid_LC,Q_available,2483559.5394,2481525.7477,345696.2858,344257.5711,1751670.2734,1720054.2401,3104000.0,3183277.7787,19.646,0.0078,0.2384
Mid_LC,Exergy_DT,131370.0676,131630.2117,23181.5368,23290.3311,84680.6468,81096.2847,174475.9324,181305.6301,24.25,0.0085,0.1613
Mid_LC,Q_negotiated,2235203.5854,2236736.4251,311126.6572,311589.4436,1576503.2461,1534326.0832,2793600.0,2879686.7212,19.49,0.007,0.3606
Mid_LC,it_load_frac,0.8001,0.7987,0.1114,0.1118,0.5643,0.5499,1.0,1.0,19.576,0.0078,0.2311
Hyperscale_LC,T_supply,46.0012,45.9964,1.1137,1.1166,43.6433,43.5778,48.0,48.2706,3.396,0.0075,0.282
Hyperscale_LC,Q_available,19602837.859,19598369.1812,2728595.0393,2745261.5944,13826005.702,13528415.6948,24500000.0,25238257.4985,19.926,0.007,0.3556
Hyperscale_LC,Exergy_DT,988740.9616,989929.4671,170039.4486,170516.1909,644593.2806,621766.0365,1303903.2708,1346763.0144,24.576,0.0076,0.2575
Hyperscale_LC,Q_negotiated,17642554.0731,17647466.095,2455735.5354,2475262.0881,12443405.1318,12093615.9097,22050000.0,22795260.8101,19.7,0.0085,0.1559
Hyperscale_LC,it_load_frac,0.8001,0.7973,0.1114,0.1115,0.5643,0.5434,1.0,1.0,19.273,0.012,0.0133
