step,T_supply,Q_available,Exergy_DT,Q_negotiated,it_load_frac,scenario,t_availability
0,48.97349014917899,325653.73672609817,24456.099610490906,282990.2714832704,0.9335303219827034,Edge_LC_synth,1.0
1,48.75023830737653,333399.0731745796,24437.937447033088,297962.8842058587,0.9219502394265947,Edge_LC_synth,1.0
2,49.05559417772598,323925.4490695462,25111.490277143577,301737.45206094644,0.9541194504630096,Edge_LC_synth,1.0
3,49.19500551234107,325822.1708553589,24321.64577272545,309907.1130055123,0.9422226921654455,Edge_LC_synth,1.0
4,49.2201399601704,316602.42412475095,25102.87826325184,311811.35539951705,0.9065822721996918,Edge_LC_synth,1.0
5,49.296749739135265,311938.1641419296,26286.34710990981,311985.0593322942,0.895178398706442,Edge_LC_synth,1.0
6,49.03262309703341,308705.2912252877,25506.893417600248,300801.0830898464,0.8546770547778456,Edge_LC_synth,1.0
7,48.90266657257053,285361.7495504564,24954.69449092566,313837.47634274967,0.9091677741606619,Edge_LC_synth,1.0
8,48.69753302532695,295870.0032748082,23709.84552006237,320661.4606829535,0.8819843953635407,Edge_LC_synth,1.0
9,49.11699357317058,321159.3540026078,24185.76834022433,320318.81811437174,0.8809255238515992,Edge_LC_synth,1.0
10,48.79425932947845,319623.5417863793,23999.03077076818,315189.67790731596,0.8544901001286036,Edge_LC_synth,1.0
11,48.76478501777963,302276.6232301662,24388.34959152724,311261.19093442825,0.8548377367964368,Edge_LC_synth,1.0
12,48.741016282551556,313138.8974995875,24723.973913810958,316909.26172282273,0.8433200379300045,Edge_LC_synth,1.0
13,48.56346701830756,308349.7323843371,23209.640692194153,334013.58419164934,0.8071647960244854,Edge_LC_synth,1.0
14,48.346316562538135,313837.1720131599,23215.517288121897,309492.6183503795,0.7979839576523596,Edge_LC_synth,1.0
15,48.12128219037562,303177.219598695,24919.29272699252,320321.8421547694,0.758791815225735,Edge_LC_synth,1.0
16,48.23526849790426,308761.73315685656,22354.94023851429,348955.2987534908,0.7922849434342883,Edge_LC_synth,1.0
17,47.869388217522406,317142.92552416876,22228.62203118598,335339.9665436624,0.8078414628256165,Edge_LC_synth,1.0
18,48.387480819386695,333737.41600634594,22454.880418486802,352164.3949249065,0.7836257604407152,Edge_LC_synth,1.0
19,48.21440576863775,299954.34399652743,20377.573262137535,371692.0556219474,0.7653681497806355,Edge_LC_synth,1.0
20,48.03810691686299,319671.39778003277,21875.384083085206,348577.5319493767,0.6812102361528979,Edge_LC_synth,1.0
21,48.398101278064445,330793.0218178296,19840.193893274187,341933.54358298494,0.7352123458301181,Edge_LC_synth,1.0
22,47.60692084076178,299168.05940196494,20465.224828300914,368399.0190524968,0.7388058216156521,Edge_LC_synth,1.0
