scenario,output_metric,parameter,S1,S1_conf,ST,ST_conf,note
Edge_LC,Q_available_mean,R_d_mult,0.0,0.0,0.0,0.0,
Edge_LC,Q_available_mean,C_d_mult,0.0,0.0,0.0,0.0,
Edge_LC,Q_available_mean,IT_load_mean,1.0,0.0765,1.0,0.0631,
Edge_LC,Q_available_mean,T_amb_mean,0.0,0.0,0.0,0.0,
Edge_LC,Q_available_mean,CAPTURE_FRACTION_LC,0.0,0.0,0.0,0.0,
Edge_LC,Exergy_DT_mean,R_d_mult,0.0281,0.0138,0.0293,0.0029,
Edge_LC,Exergy_DT_mean,C_d_mult,0.0,0.0,0.0,0.0,
Edge_LC,Exergy_DT_mean,IT_load_mean,0.4563,0.0537,0.4633,0.0408,
Edge_LC,Exergy_DT_mean,T_amb_mean,0.5085,0.058,0.5146,0.0425,
Edge_LC,Exergy_DT_mean,CAPTURE_FRACTION_LC,0.0,0.0,0.0,0.0,
Mid_LC,Q_available_mean,R_d_mult,0.0,0.0,0.0,0.0,
Mid_LC,Q_available_mean,C_d_mult,0.0,0.0,0.0,0.0,
Mid_LC,Q_available_mean,IT_load_mean,1.0,0.0765,1.0,0.0631,
Mid_LC,Q_available_mean,T_amb_mean,0.0,0.0,0.0,0.0,
Mid_LC,Q_available_mean,CAPTURE_FRACTION_LC,0.0,0.0,0.0,0.0,
Mid_LC,Exergy_DT_mean,R_d_mult,0.0281,0.0138,0.0293,0.0029,
Mid_LC,Exergy_DT_mean,C_d_mult,0.0,0.0,0.0,0.0,
Mid_LC,Exergy_DT_mean,IT_load_mean,0.4563,0.0537,0.4633,0.0408,
Mid_LC,Exergy_DT_mean,T_amb_mean,0.5085,0.058,0.5146,0.0425,
Mid_LC,Exergy_DT_mean,CAPTURE_FRACTION_LC,0.0,0.0,0.0,0.0,
Hyperscale_LC,Q_available_mean,R_d_mult,0.0,0.0,0.0,0.0,
Hyperscale_LC,Q_available_mean,C_d_mult,0.0,0.0,0.0,0.0,
Hyperscale_LC,Q_available_mean,IT_load_mean,1.0,0.0765,1.0,0.0631,
Hyperscale_LC,Q_available_mean,T_amb_mean,0.0,0.0,0.0,0.0,
Hyperscale_LC,Q_available_mean,CAPTURE_FRACTION_LC,0.0,0.0,0.0,0.0,
Hyperscale_LC,Exergy_DT_mean,R_d_mult,0.0213,0.0121,0.0222,0.0022,
Hyperscale_LC,Exergy_DT_mean,C_d_mult,0.0,0.0,0.0,0.0,
Hyperscale_LC,Exergy_DT_mean,IT_load_mean,0.4208,0.051,0.428,0.038,
Hyperscale_LC,Exergy_DT_mean,T_amb_mean,0.5505,0.0595,0.5571,0.0454,
Hyperscale_LC,Exergy_DT_mean,CAPTURE_FRACTION_LC,0.0,0.0,0.0,0.0,
