beta,gamma,delta,dc_name,process_name,is_match_score,tier
0.2,0.2,0.6,Edge_LC,HighT_130C,0.0,not_viable
0.2,0.2,0.6,Edge_LC,LowT_60C,0.1399,not_viable
0.2,0.2,0.6,Edge_LC,MidT_90C,0.0197,not_viable
0.2,0.2,0.6,Mid_LC,HighT_130C,0.0,not_viable
0.2,0.2,0.6,Mid_LC,LowT_60C,0.1399,not_viable
0.2,0.2,0.6,Mid_LC,MidT_90C,0.0197,not_viable
0.2,0.2,0.6,Hyperscale_LC,HighT_130C,0.0,not_viable
0.2,0.2,0.6,Hyperscale_LC,LowT_60C,0.1399,not_viable
0.2,0.2,0.6,Hyperscale_LC,MidT_90C,0.0196,not_viable
0.2,0.3,0.5,Edge_LC,HighT_130C,0.0273,not_viable
0.2,0.3,0.5,Edge_LC,LowT_60C,0.2402,not_viable
0.2,0.3,0.5,Edge_LC,MidT_90C,0.1367,not_viable
0.2,0.3,0.5,Mid_LC,HighT_130C,0.0273,not_viable
0.2,0.3,0.5,Mid_LC,LowT_60C,0.2402,not_viable
0.2,0.3,0.5,Mid_LC,MidT_90C,0.1367,not_viable
0.2,0.3,0.5,Hyperscale_LC,HighT_130C,0.0277,not_viable
0.2,0.3,0.5,Hyperscale_LC,LowT_60C,0.2407,not_viable
0.2,0.3,0.5,Hyperscale_LC,MidT_90C,0.1371,not_viable
0.2,0.4,0.4,Edge_LC,HighT_130C,0.16,not_viable
0.2,0.4,0.4,Edge_LC,LowT_60C,0.3405,marginal
0.2,0.4,0.4,Edge_LC,MidT_90C,0.2536,not_viable
0.2,0.4,0.4,Mid_LC,HighT_130C,0.16,not_viable
0.2,0.4,0.4,Mid_LC,LowT_60C,0.3405,marginal
0.2,0.4,0.4,Mid_LC,MidT_90C,0.2536,not_viable
0.2,0.4,0.4,Hyperscale_LC,HighT_130C,0.1609,not_viable
0.2,0.4,0.4,Hyperscale_LC,LowT_60C,0.3415,marginal
0.2,0.4,0.4,Hyperscale_LC,MidT_90C,0.2546,not_viable
0.2,0.5,0.3,Edge_LC,HighT_130C,0.2926,not_viable
0.2,0.5,0.3,Edge_LC,LowT_60C,0.4408,marginal
0.2,0.5,0.3,Edge_LC,MidT_90C,0.3706,marginal
0.2,0.5,0.3,Mid_LC,HighT_130C,0.2926,not_viable
0.2,0.5,0.3,Mid_LC,LowT_60C,0.4408,marginal
0.2,0.5,0.3,Mid_LC,MidT_90C,0.3706,marginal
0.2,0.5,0.3,Hyperscale_LC,HighT_130C,0.2941,not_viable
0.2,0.5,0.3,Hyperscale_LC,LowT_60C,0.4424,marginal
0.2,0.5,0.3,Hyperscale_LC,MidT_90C,0.3721,marginal
0.3,0.2,0.5,Edge_LC,HighT_130C,0.0,not_viable
0.3,0.2,0.5,Edge_LC,LowT_60C,0.2346,not_viable
0.3,0.2,0.5,Edge_LC,MidT_90C,0.1209,not_viable
0.3,0.2,0.5,Mid_LC,HighT_130C,0.0,not_viable
0.3,0.2,0.5,Mid_LC,LowT_60C,0.2346,not_viable
0.3,0.2,0.5,Mid_LC,MidT_90C,0.1209,not_viable
0.3,0.2,0.5,Hyperscale_LC,HighT_130C,0.0,not_viable
0.3,0.2,0.5,Hyperscale_LC,LowT_60C,0.234,not_viable
0.3,0.2,0.5,Hyperscale_LC,MidT_90C,0.1202,not_viable
0.3,0.3,0.4,Edge_LC,HighT_130C,0.1287,not_viable
0.3,0.3,0.4,Edge_LC,LowT_60C,0.3349,marginal
0.3,0.3,0.4,Edge_LC,MidT_90C,0.2379,not_viable
0.3,0.3,0.4,Mid_LC,HighT_130C,0.1287,not_viable
0.3,0.3,0.4,Mid_LC,LowT_60C,0.3349,marginal
0.3,0.3,0.4,Mid_LC,MidT_90C,0.2379,not_viable
0.3,0.3,0.4,Hyperscale_LC,HighT_130C,0.1285,not_viable
0.3,0.3,0.4,Hyperscale_LC,LowT_60C,0.3348,marginal
0.3,0.3,0.4,Hyperscale_LC,MidT_90C,0.2377,not_viable
0.3,0.4,0.3,Edge_LC,HighT_130C,0.2614,not_viable
0.3,0.4,0.3,Edge_LC,LowT_60C,0.4352,marginal
0.3,0.4,0.3,Edge_LC,MidT_90C,0.3549,marginal
