dc_name,process_name,delta_beta_pct,delta_gamma_pct,delta_delta_pct,beta,gamma,delta,is_match_score
Edge_LC,HighT_130C,-20,-20,-20,0.32,0.32,0.16,0.3184
Edge_LC,LowT_60C,-20,-20,-20,0.32,0.32,0.16,0.4491
Edge_LC,MidT_90C,-20,-20,-20,0.32,0.32,0.16,0.3817
Mid_LC,HighT_130C,-20,-20,-20,0.32,0.32,0.16,0.3184
Mid_LC,LowT_60C,-20,-20,-20,0.32,0.32,0.16,0.4491
Mid_LC,MidT_90C,-20,-20,-20,0.32,0.32,0.16,0.3817
Hyperscale_LC,HighT_130C,-20,-20,-20,0.32,0.32,0.16,0.3183
Hyperscale_LC,LowT_60C,-20,-20,-20,0.32,0.32,0.16,0.4489
Hyperscale_LC,MidT_90C,-20,-20,-20,0.32,0.32,0.16,0.3816
Edge_LC,HighT_130C,-20,-20,-10,0.32,0.32,0.18,0.3069
Edge_LC,LowT_60C,-20,-20,-10,0.32,0.32,0.18,0.4441
Edge_LC,MidT_90C,-20,-20,-10,0.32,0.32,0.18,0.3732
Mid_LC,HighT_130C,-20,-20,-10,0.32,0.32,0.18,0.3069
Mid_LC,LowT_60C,-20,-20,-10,0.32,0.32,0.18,0.4441
Mid_LC,MidT_90C,-20,-20,-10,0.32,0.32,0.18,0.3732
Hyperscale_LC,HighT_130C,-20,-20,-10,0.32,0.32,0.18,0.3067
Hyperscale_LC,LowT_60C,-20,-20,-10,0.32,0.32,0.18,0.4439
Hyperscale_LC,MidT_90C,-20,-20,-10,0.32,0.32,0.18,0.3732
Edge_LC,HighT_130C,-20,-20,0,0.32,0.32,0.2,0.2954
Edge_LC,LowT_60C,-20,-20,0,0.32,0.32,0.2,0.4391
Edge_LC,MidT_90C,-20,-20,0,0.32,0.32,0.2,0.3648
Mid_LC,HighT_130C,-20,-20,0,0.32,0.32,0.2,0.2954
Mid_LC,LowT_60C,-20,-20,0,0.32,0.32,0.2,0.4391
Mid_LC,MidT_90C,-20,-20,0,0.32,0.32,0.2,0.3648
Hyperscale_LC,HighT_130C,-20,-20,0,0.32,0.32,0.2,0.2952
Hyperscale_LC,LowT_60C,-20,-20,0,0.32,0.32,0.2,0.4389
Hyperscale_LC,MidT_90C,-20,-20,0,0.32,0.32,0.2,0.3647
Edge_LC,HighT_130C,-20,-20,10,0.32,0.32,0.22,0.2838
Edge_LC,LowT_60C,-20,-20,10,0.32,0.32,0.22,0.4341
Edge_LC,MidT_90C,-20,-20,10,0.32,0.32,0.22,0.3563
Mid_LC,HighT_130C,-20,-20,10,0.32,0.32,0.22,0.2838
Mid_LC,LowT_60C,-20,-20,10,0.32,0.32,0.22,0.4341
Mid_LC,MidT_90C,-20,-20,10,0.32,0.32,0.22,0.3563
Hyperscale_LC,HighT_130C,-20,-20,10,0.32,0.32,0.22,0.2837
