dc_name,dc_q_nominal_kw,dc_t_supply_mean_c,dc_t_supply_max_c,dc_t_avail_fraction,plant_name,plant_description,plant_tier,plant_proximity_band,plant_t_req_c,plant_q_demand_kw,plant_shift_pattern,plant_delta_tc_baseline,plant_data_source,distance_km,RI_quantity,RI_temperature,RI_availability,RI_distance,RI_static,feasible
Edge_LC,475.0,47.6,50.0,1.0,LowT_01_Food_Short,"Food drying - short proximity scenario [parametric, ENEA]",LowT_60C,short,60.0,800.0,2shift,0.25,Parametric - ENEA IS benchmark (2021),30.0,0.5938,0.7334,0.65,0.85,0.5837,1
Edge_LC,475.0,47.6,50.0,1.0,LowT_02_Agro_Medium,"Agro-industrial processing - medium proximity scenario [parametric, ENEA]",LowT_60C,medium,60.0,1200.0,2shift,0.28,Parametric - ENEA IS benchmark (2021),75.0,0.3958,0.7334,0.65,0.625,0.4919,0
Edge_LC,475.0,47.6,50.0,1.0,LowT_03_Dairy_Short,"Dairy processing - short proximity scenario [parametric, ENEA]",LowT_60C,short,65.0,650.0,continuous,0.22,Parametric - ENEA IS benchmark (2021),45.0,0.7308,0.6473,0.95,0.775,0.6347,1
Edge_LC,475.0,47.6,50.0,1.0,MidT_04_PaperPulp_Medium,"Paper/pulp mill - medium proximity [parametric, Hotmaps-informed]",MidT_90C,medium,90.0,28127.9,continuous,0.42,"Parametric - Hotmaps EU Paper statistics [Manz & Fleiter 2018, DOI:10.5281/zenodo.4687147]; T-profile: Fleiter et al. (2013)",80.0,0.0169,0.3465,0.95,0.6,0.247,0
Edge_LC,475.0,47.6,50.0,1.0,MidT_05_PaperPulp_Short,"Paper/pulp mill - short proximity [parametric, Hotmaps-informed]",MidT_90C,short,90.0,31141.6,continuous,0.4,"Parametric - Hotmaps EU Paper statistics [Manz & Fleiter 2018, DOI:10.5281/zenodo.4687147]; T-profile: Fleiter et al. (2013)",50.0,0.0153,0.3465,0.95,0.75,0.2614,0
Edge_LC,475.0,47.6,50.0,1.0,MidT_06_PaperPulp_Long,"Paper/pulp mill - long proximity [parametric, Hotmaps-informed]",MidT_90C,long,90.0,21095.9,continuous,0.45,"Parametric - Hotmaps EU Paper statistics [Manz & Fleiter 2018, DOI:10.5281/zenodo.4687147]; T-profile: Fleiter et al. (2013)",140.0,0.0225,0.3465,0.95,0.3,0.219,0
Edge_LC,475.0,47.6,50.0,1.0,HighT_07_Rubber_Medium,"Rubber vulcanisation - medium proximity [parametric, CE-HEAT]",HighT_130C,medium,130.0,2800.0,2shift,0.55,Parametric - CE-HEAT taxonomy (WP3/WP4),100.0,0.1696,0.1275,0.65,0.5,0.1579,0
Edge_LC,475.0,47.6,50.0,1.0,HighT_08_ChemProcess_Short,"Chemical process - short proximity [parametric, CE-HEAT]",HighT_130C,medium,130.0,4500.0,continuous,0.58,Parametric - CE-HEAT taxonomy (WP3/WP4),55.0,0.1056,0.1275,0.95,0.725,0.2029,0
Edge_LC,475.0,47.6,50.0,1.0,HighT_09_Steam_Long,"Industrial steam - long proximity [parametric, CE-HEAT]",HighT_130C,long,135.0,6200.0,continuous,0.6,Parametric - CE-HEAT taxonomy (WP3/WP4),160.0,0.0766,0.1125,0.95,0.2,0.1343,0
Mid_LC,3104.0,47.6,50.0,1.0,LowT_01_Food_Short,"Food drying - short proximity scenario [parametric, ENEA]",LowT_60C,short,60.0,800.0,2shift,0.25,Parametric - ENEA IS benchmark (2021),30.0,1.0,0.7334,0.65,0.85,0.7259,1
Mid_LC,3104.0,47.6,50.0,1.0,LowT_02_Agro_Medium,"Agro-industrial processing - medium proximity scenario [parametric, ENEA]",LowT_60C,medium,60.0,1200.0,2shift,0.28,Parametric - ENEA IS benchmark (2021),75.0,1.0,0.7334,0.65,0.625,0.7034,1
Mid_LC,3104.0,47.6,50.0,1.0,LowT_03_Dairy_Short,"Dairy processing - short proximity scenario [parametric, ENEA]",LowT_60C,short,65.0,650.0,continuous,0.22,Parametric - ENEA IS benchmark (2021),45.0,1.0,0.6473,0.95,0.775,0.7289,1
Mid_LC,3104.0,47.6,50.0,1.0,MidT_04_PaperPulp_Medium,"Paper/pulp mill - medium proximity [parametric, Hotmaps-informed]",MidT_90C,medium,90.0,28127.9,continuous,0.42,"Parametric - Hotmaps EU Paper statistics [Manz & Fleiter 2018, DOI:10.5281/zenodo.4687147]; T-profile: Fleiter et al. (2013)",80.0,0.1104,0.3465,0.95,0.6,0.2797,0
Mid_LC,3104.0,47.6,50.0,1.0,MidT_05_PaperPulp_Short,"Paper/pulp mill - short proximity [parametric, Hotmaps-informed]",MidT_90C,short,90.0,31141.6,continuous,0.4,"Parametric - Hotmaps EU Paper statistics [Manz & Fleiter 2018, DOI:10.5281/zenodo.4687147]; T-profile: Fleiter et al. (2013)",50.0,0.0997,0.3465,0.95,0.75,0.291,0
Mid_LC,3104.0,47.6,50.0,1.0,MidT_06_PaperPulp_Long,"Paper/pulp mill - long proximity [parametric, Hotmaps-informed]",MidT_90C,long,90.0,21095.9,continuous,0.45,"Parametric - Hotmaps EU Paper statistics [Manz & Fleiter 2018, DOI:10.5281/zenodo.4687147]; T-profile: Fleiter et al. (2013)",140.0,0.1471,0.3465,0.95,0.3,0.2626,0
Mid_LC,3104.0,47.6,50.0,1.0,HighT_07_Rubber_Medium,"Rubber vulcanisation - medium proximity [parametric, CE-HEAT]",HighT_130C,medium,130.0,2800.0,2shift,0.55,Parametric - CE-HEAT taxonomy (WP3/WP4),100.0,1.0,0.1275,0.65,0.5,0.4485,0
Mid_LC,3104.0,47.6,50.0,1.0,HighT_08_ChemProcess_Short,"Chemical process - short proximity [parametric, CE-HEAT]",HighT_130C,medium,130.0,4500.0,continuous,0.58,Parametric - CE-HEAT taxonomy (WP3/WP4),55.0,0.6898,0.1275,0.95,0.725,0.4074,0
Mid_LC,3104.0,47.6,50.0,1.0,HighT_09_Steam_Long,"Industrial steam - long proximity [parametric, CE-HEAT]",HighT_130C,long,135.0,6200.0,continuous,0.6,Parametric - CE-HEAT taxonomy (WP3/WP4),160.0,0.5006,0.1125,0.95,0.2,0.2827,0
Hyperscale_LC,24500.0,46.0,49.5,1.0,LowT_01_Food_Short,"Food drying - short proximity scenario [parametric, ENEA]",LowT_60C,short,60.0,800.0,2shift,0.25,Parametric - ENEA IS benchmark (2021),30.0,1.0,0.7047,0.65,0.85,0.7144,1
Hyperscale_LC,24500.0,46.0,49.5,1.0,LowT_02_Agro_Medium,"Agro-industrial processing - medium proximity scenario [parametric, ENEA]",LowT_60C,medium,60.0,1200.0,2shift,0.28,Parametric - ENEA IS benchmark (2021),75.0,1.0,0.7047,0.65,0.625,0.6919,1
Hyperscale_LC,24500.0,46.0,49.5,1.0,LowT_03_Dairy_Short,"Dairy processing - short proximity scenario [parametric, ENEA]",LowT_60C,short,65.0,650.0,continuous,0.22,Parametric - ENEA IS benchmark (2021),45.0,1.0,0.6219,0.95,0.775,0.7188,1
Hyperscale_LC,24500.0,46.0,49.5,1.0,MidT_04_PaperPulp_Medium,"Paper/pulp mill - medium proximity [parametric, Hotmaps-informed]",MidT_90C,medium,90.0,28127.9,continuous,0.42,"Parametric - Hotmaps EU Paper statistics [Manz & Fleiter 2018, DOI:10.5281/zenodo.4687147]; T-profile: Fleiter et al. (2013)",80.0,0.871,0.3329,0.95,0.6,0.5405,1
Hyperscale_LC,24500.0,46.0,49.5,1.0,MidT_05_PaperPulp_Short,"Paper/pulp mill - short proximity [parametric, Hotmaps-informed]",MidT_90C,short,90.0,31141.6,continuous,0.4,"Parametric - Hotmaps EU Paper statistics [Manz & Fleiter 2018, DOI:10.5281/zenodo.4687147]; T-profile: Fleiter et al. (2013)",50.0,0.7867,0.3329,0.95,0.75,0.526,1
Hyperscale_LC,24500.0,46.0,49.5,1.0,MidT_06_PaperPulp_Long,"Paper/pulp mill - long proximity [parametric, Hotmaps-informed]",MidT_90C,long,90.0,21095.9,continuous,0.45,"Parametric - Hotmaps EU Paper statistics [Manz & Fleiter 2018, DOI:10.5281/zenodo.4687147]; T-profile: Fleiter et al. (2013)",140.0,1.0,0.3329,0.95,0.3,0.5556,1
Hyperscale_LC,24500.0,46.0,49.5,1.0,HighT_07_Rubber_Medium,"Rubber vulcanisation - medium proximity [parametric, CE-HEAT]",HighT_130C,medium,130.0,2800.0,2shift,0.55,Parametric - CE-HEAT taxonomy (WP3/WP4),100.0,1.0,0.1225,0.65,0.5,0.4465,0
Hyperscale_LC,24500.0,46.0,49.5,1.0,HighT_08_ChemProcess_Short,"Chemical process - short proximity [parametric, CE-HEAT]",HighT_130C,medium,130.0,4500.0,continuous,0.58,Parametric - CE-HEAT taxonomy (WP3/WP4),55.0,1.0,0.1225,0.95,0.725,0.514,1
Hyperscale_LC,24500.0,46.0,49.5,1.0,HighT_09_Steam_Long,"Industrial steam - long proximity [parametric, CE-HEAT]",HighT_130C,long,135.0,6200.0,continuous,0.6,Parametric - CE-HEAT taxonomy (WP3/WP4),160.0,1.0,0.1081,0.95,0.2,0.4557,0
