beta,gamma,delta,ndcg_mean,ndcg_min,ndcg_max
0.2,0.2,0.6,0.997,0.9917,1.0
0.2,0.3,0.5,0.9956,0.9886,0.9995
0.2,0.4,0.4,0.9956,0.9886,0.9995
0.3,0.2,0.5,0.9956,0.9886,0.9995
0.4,0.4,0.2,0.9917,0.9881,0.9985
0.4,0.5,0.1,0.9917,0.9878,0.9985
0.5,0.3,0.2,0.9917,0.9878,0.9985
0.2,0.5,0.3,0.9915,0.9881,0.998
0.3,0.3,0.4,0.9915,0.9881,0.998
0.3,0.4,0.3,0.9915,0.9881,0.998
0.3,0.5,0.2,0.9915,0.9881,0.998
0.4,0.2,0.4,0.9915,0.9881,0.998
0.4,0.3,0.3,0.9915,0.9881,0.998
0.5,0.2,0.3,0.9915,0.9881,0.998
0.5,0.4,0.1,0.9871,0.9778,0.9971
0.5,0.5,0.0,0.9871,0.9778,0.9971
