rank,dc_name,process_name,ri_temporal,exergy_dt_norm,delta_tc_norm,is_match_score,is_match_score_raw,tier,beta,gamma,delta,n_weighted_steps,exergy_norm_method,iteration
1,Edge_LC,LowT_60C,0.7419,0.7529,0.25,0.5479,0.5479,marginal,0.4,0.4,0.2,16704,per_scenario,0
2,Mid_LC,LowT_60C,0.7419,0.7529,0.25,0.5479,0.5479,marginal,0.4,0.4,0.2,16704,per_scenario,0
3,Hyperscale_LC,LowT_60C,0.7358,0.7583,0.25,0.5476,0.5476,marginal,0.4,0.4,0.2,16704,per_scenario,0
4,Mid_LC,MidT_90C,0.5916,0.7529,0.4233,0.4532,0.4532,marginal,0.4,0.4,0.2,35040,per_scenario,0
5,Edge_LC,MidT_90C,0.5916,0.7529,0.4233,0.4532,0.4532,marginal,0.4,0.4,0.2,35040,per_scenario,0
6,Hyperscale_LC,MidT_90C,0.586,0.7583,0.4233,0.4531,0.4531,marginal,0.4,0.4,0.2,35040,per_scenario,0
7,Edge_LC,HighT_130C,0.4556,0.7529,0.5767,0.3681,0.3681,marginal,0.4,0.4,0.2,16704,per_scenario,0
8,Mid_LC,HighT_130C,0.4556,0.7529,0.5767,0.3681,0.3681,marginal,0.4,0.4,0.2,16704,per_scenario,0
9,Hyperscale_LC,HighT_130C,0.4496,0.7583,0.5767,0.3678,0.3678,marginal,0.4,0.4,0.2,16704,per_scenario,0
1,Edge_LC,LowT_60C,0.7419,0.7529,0.17105,0.5637,0.5479,marginal,0.4,0.4,0.2,16704,per_scenario,1
2,Mid_LC,LowT_60C,0.7419,0.7529,0.17105,0.5637,0.5479,marginal,0.4,0.4,0.2,16704,per_scenario,1
3,Hyperscale_LC,LowT_60C,0.7358,0.7583,0.17105,0.5634,0.5476,marginal,0.4,0.4,0.2,16704,per_scenario,1
4,Mid_LC,MidT_90C,0.5916,0.7529,0.30787,0.4762,0.4532,marginal,0.4,0.4,0.2,35040,per_scenario,1
5,Edge_LC,MidT_90C,0.5916,0.7529,0.30787,0.4762,0.4532,marginal,0.4,0.4,0.2,35040,per_scenario,1
6,Hyperscale_LC,MidT_90C,0.586,0.7583,0.30787,0.4761,0.4531,marginal,0.4,0.4,0.2,35040,per_scenario,1
7,Edge_LC,HighT_130C,0.4556,0.7529,0.43829,0.3957,0.3681,marginal,0.4,0.4,0.2,16704,per_scenario,1
8,Mid_LC,HighT_130C,0.4556,0.7529,0.43829,0.3957,0.3681,marginal,0.4,0.4,0.2,16704,per_scenario,1
9,Hyperscale_LC,HighT_130C,0.4496,0.7583,0.43829,0.3955,0.3678,marginal,0.4,0.4,0.2,16704,per_scenario,1
1,Edge_LC,LowT_60C,0.7419,0.7529,0.11703,0.5745,0.5479,marginal,0.4,0.4,0.2,16704,per_scenario,2
2,Mid_LC,LowT_60C,0.7419,0.7529,0.11703,0.5745,0.5479,marginal,0.4,0.4,0.2,16704,per_scenario,2
3,Hyperscale_LC,LowT_60C,0.7358,0.7583,0.11703,0.5742,0.5476,marginal,0.4,0.4,0.2,16704,per_scenario,2
4,Mid_LC,MidT_90C,0.5916,0.7529,0.22391,0.493,0.4532,marginal,0.4,0.4,0.2,35040,per_scenario,2
5,Edge_LC,MidT_90C,0.5916,0.7529,0.22391,0.493,0.4532,marginal,0.4,0.4,0.2,35040,per_scenario,2
6,Hyperscale_LC,MidT_90C,0.586,0.7583,0.22391,0.4929,0.4531,marginal,0.4,0.4,0.2,35040,per_scenario,2
7,Edge_LC,HighT_130C,0.4556,0.7529,0.3331,0.4168,0.3681,marginal,0.4,0.4,0.2,16704,per_scenario,2
8,Mid_LC,HighT_130C,0.4556,0.7529,0.3331,0.4168,0.3681,marginal,0.4,0.4,0.2,16704,per_scenario,2
9,Hyperscale_LC,HighT_130C,0.4496,0.7583,0.3331,0.4165,0.3678,marginal,0.4,0.4,0.2,16704,per_scenario,2
1,Edge_LC,LowT_60C,0.7419,0.7529,0.08007,0.5819,0.5479,marginal,0.4,0.4,0.2,16704,per_scenario,3
2,Mid_LC,LowT_60C,0.7419,0.7529,0.08007,0.5819,0.5479,marginal,0.4,0.4,0.2,16704,per_scenario,3
3,Hyperscale_LC,LowT_60C,0.7358,0.7583,0.08007,0.5816,0.5476,marginal,0.4,0.4,0.2,16704,per_scenario,3
4,Mid_LC,MidT_90C,0.5916,0.7529,0.16285,0.5052,0.4532,marginal,0.4,0.4,0.2,35040,per_scenario,3
5,Edge_LC,MidT_90C,0.5916,0.7529,0.16285,0.5052,0.4532,marginal,0.4,0.4,0.2,35040,per_scenario,3
6,Hyperscale_LC,MidT_90C,0.586,0.7583,0.16285,0.5052,0.4531,marginal,0.4,0.4,0.2,35040,per_scenario,3
7,Edge_LC,HighT_130C,0.4556,0.7529,0.25316,0.4328,0.3681,marginal,0.4,0.4,0.2,16704,per_scenario,3
8,Mid_LC,HighT_130C,0.4556,0.7529,0.25316,0.4328,0.3681,marginal,0.4,0.4,0.2,16704,per_scenario,3
9,Hyperscale_LC,HighT_130C,0.4496,0.7583,0.25316,0.4325,0.3678,marginal,0.4,0.4,0.2,16704,per_scenario,3
1,Edge_LC,LowT_60C,0.7419,0.7529,0.05478,0.587,0.5479,marginal,0.4,0.4,0.2,16704,per_scenario,4
2,Mid_LC,LowT_60C,0.7419,0.7529,0.05478,0.587,0.5479,marginal,0.4,0.4,0.2,16704,per_scenario,4
3,Hyperscale_LC,LowT_60C,0.7358,0.7583,0.05478,0.5867,0.5476,marginal,0.4,0.4,0.2,16704,per_scenario,4
4,Mid_LC,MidT_90C,0.5916,0.7529,0.11844,0.5141,0.4532,marginal,0.4,0.4,0.2,35040,per_scenario,4
