question_id,class,gt_kw_in_context,gt_kw_frac_in_kg_source,ground_truth,method
A14,synthesis_or_metric,True,0.5,60 to 90 degrees Celsius,keyword-level auto-classification; manual review recommended on synthesis bucket (A14-type context keyword artifacts)
A19,synthesis_or_metric,True,1.0,30000 kW,keyword-level auto-classification; manual review recommended on synthesis bucket (A14-type context keyword artifacts)
A24,routing_under_retrieval,False,1.0,GSE - Gestore Servizi Energetici,keyword-level auto-classification; manual review recommended on synthesis bucket (A14-type context keyword artifacts)
A25,routing_under_retrieval,False,0.8,"5 (DM 2021, DD May 2022, DD May 2023, DD Oct 2023, DM MASE 2025)",keyword-level auto-classification; manual review recommended on synthesis bucket (A14-type context keyword artifacts)
A26,routing_under_retrieval,False,1.0,Decreto Ministeriale 21 maggio 2021,keyword-level auto-classification; manual review recommended on synthesis bucket (A14-type context keyword artifacts)
A30,routing_under_retrieval,False,1.0,2030,keyword-level auto-classification; manual review recommended on synthesis bucket (A14-type context keyword artifacts)
A31,routing_under_retrieval,False,1.0,Danish Energy Agency (DK-DEA),keyword-level auto-classification; manual review recommended on synthesis bucket (A14-type context keyword artifacts)
A32,routing_under_retrieval,False,1.0,65%,keyword-level auto-classification; manual review recommended on synthesis bucket (A14-type context keyword artifacts)
A33,routing_under_retrieval,False,1.0,3GDH,keyword-level auto-classification; manual review recommended on synthesis bucket (A14-type context keyword artifacts)
B02,synthesis_or_metric,True,0.91,"DC-M (mid-size, 3200 kW) and Paper Drying process (90C required)",keyword-level auto-classification; manual review recommended on synthesis bucket (A14-type context keyword artifacts)
B04,routing_under_retrieval,False,0.92,"3 scenarios (S1, S4, S7 - one per DC scale, all targeting T1 band)",keyword-level auto-classification; manual review recommended on synthesis bucket (A14-type context keyword artifacts)
B06,borderline_derived,False,0.56,"20C gap: CO2_HTHP supplies 110C, sterilization requires 130C",keyword-level auto-classification; manual review recommended on synthesis bucket (A14-type context keyword artifacts)
B07,synthesis_or_metric,True,1.0,Pulp and Paper Industry (Paper Drying process),keyword-level auto-classification; manual review recommended on synthesis bucket (A14-type context keyword artifacts)
B08,synthesis_or_metric,True,1.0,"6 scenarios (S1, S3, S4, S6, S7, S9 - pasteurization and sterilization)",keyword-level auto-classification; manual review recommended on synthesis bucket (A14-type context keyword artifacts)
