cfg scen |     conv  timeout   rounds     W_dc    W_mfg     fair      PoA
-------------------------------------------------------------------------
 A0   S1 |    1.000    0.000    7.400  2.9e+05  2.5e+05    0.781    0.973
 A0   S2 |    1.000    0.000    7.000  2.8e+05  2.3e+05    0.817    0.937
 A0   S3 |    1.000    0.000    4.000  2.1e+05  9.7e+04    0.454    0.793
 A0   S4 |    1.000    0.000   11.600  7.7e+05  6.0e+05    0.777    0.983
 A0   S5 |    1.000    0.000    6.200  1.8e+06  1.4e+06    0.779    0.897
 A0   S6 |    1.000    0.000    2.800  1.2e+06  5.6e+05    0.454    0.776
 A0   S7 |    1.000    0.000   12.200  7.8e+05  6.1e+05    0.777    0.995
 A0   S8 |    1.000    0.000    2.000  1.3e+07  1.5e+07    0.844    0.981
 A0   S9 |    1.000    0.000    3.200  1.3e+06  5.7e+05    0.454    0.789
 A0 S_AIR_M |    1.000    0.000    6.200  1.8e+06  1.4e+06    0.779    0.897
  D   S1 |    1.000    0.000   13.400 -1.1e+04  5.4e+05    0.010    0.954
  D   S2 |    1.000    0.000   12.600 -1.1e+04  5.2e+05    0.011    0.923
  D   S3 |    1.000    0.000   10.600 -987.221  3.2e+05    0.066    0.821
  D   S4 |    0.800    0.200   18.000  7.3e+05  6.7e+05    0.887    1.000
  D   S5 |    1.000    0.000   12.200  1.8e+06  1.6e+06    0.831    0.939
  D   S6 |    1.000    0.000   12.200  1.4e+06  6.7e+05    0.477    0.900
  D   S7 |    0.800    0.200   18.000  7.4e+05  6.6e+05    0.878    1.000
  D   S8 |    1.000    0.000    2.200  1.2e+07  1.2e+07    0.914    0.864
  D   S9 |    1.000    0.000   12.200  1.4e+06  6.3e+05    0.454    0.867
  D S_AIR_M |    0.533    0.467   17.920  1.6e+06  1.4e+06    0.738    0.831
