config,seed,scenario,convergence_rate,timeout_rate,mean_rounds,welfare_dc,welfare_mfg,shapley_fairness,price_of_anarchy
A0,0,S1,1.0,0.0,2.0,229220.53604125977,178204.98991012573,0.7774390243902439,0.7356243134058883
A0,0,S2,1.0,0.0,2.0,242550.27777643787,278811.05490176094,0.8699449807035109,0.9426338077250085
A0,0,S3,1.0,0.0,2.0,178025.53627490997,80863.71189951897,0.45422535211267606,0.6598426104052929
A0,0,S4,1.0,0.0,2.0,472757.6957702637,367540.2817726135,0.7774390243902439,0.6005560160102811
A0,0,S5,1.0,0.0,7.0,1421519.500070191,1107846.7986488342,0.7793398533007334,0.6998223662865338
A0,0,S6,1.0,0.0,12.0,1127784.0299606323,512268.09811592085,0.4542253521126759,0.7091197371978277
A0,0,S7,1.0,0.0,2.0,500405.99784851074,389035.1507663727,0.7774390243902439,0.6356783509698578
A0,0,S8,1.0,0.0,2.0,9878833.288453044,15178131.898428975,0.6508596284813918,0.8783349991458379
A0,0,S9,1.0,0.0,2.0,960532.9242706299,436298.40574264526,0.45422535211267606,0.603956818622823
A0,0,S_AIR_M,1.0,0.0,7.0,1421519.500070191,1107846.7986488342,0.7793398533007334,0.6998223662865338
A0,1,S1,1.0,0.0,2.0,247179.660654068,192167.11422801018,0.7774390243902439,0.7932595015126372
A0,1,S2,1.0,0.0,2.0,230392.11606502533,179553.7579357624,0.7793398533007335,0.7411919832747466
A0,1,S3,1.0,0.0,2.0,174247.5486755371,79147.6541519165,0.45422535211267606,0.6458396912072321
A0,1,S4,1.0,0.0,2.0,545588.1248474121,424161.49950027466,0.7774390243902439,0.6930743456371063
A0,1,S5,1.0,0.0,5.0,1504294.8754516607,1172356.947555542,0.7793398533007334,0.7405731678526438
A0,1,S6,1.0,0.0,2.0,1019976.6412734985,463299.24902915955,0.45422535211267606,0.6413334012479625
A0,1,S7,1.0,0.0,2.0,549259.3002319336,427015.6145095825,0.7774390243902439,0.6977379322539482
A0,1,S8,1.0,0.0,2.0,10562931.37206443,12861726.320189161,0.8212685536220522,0.8211168647386117
A0,1,S9,1.0,0.0,2.0,987337.3174667358,448473.6406803131,0.45422535211267606,0.6208106875853348
A0,1,S_AIR_M,1.0,0.0,5.0,1504294.8754516607,1172356.947555542,0.7793398533007334,0.7405731678526438
A0,2,S1,1.0,0.0,2.0,216275.97653865814,168141.38419926167,0.7774390243902439,0.6940820813663953
A0,2,S2,1.0,0.0,2.0,201462.07965373993,157007.42760300636,0.7793398533007335,0.6481214762186833
A0,2,S3,1.0,0.0,2.0,178942.38132238388,81280.16616404057,0.45422535211267606,0.6632408500181097
A0,2,S4,1.0,0.0,16.0,787200.0,612000.0,0.7774390243902439,1.000000000069866
A0,2,S5,1.0,0.0,9.0,1578739.259835816,1230374.423160553,0.7793398533007334,0.7772225738114726
A0,2,S6,1.0,0.0,2.0,943359.252166748,428497.6884841919,0.45422535211267606,0.5931584835466902
A0,2,S7,1.0,0.0,2.0,475760.39085388184,369874.694108963,0.7774390243902439,0.6043704152529488
A0,2,S8,1.0,0.0,2.0,6977784.146056751,20108140.067734137,0.347012907337632,0.9494571686454356
A0,2,S9,1.0,0.0,17.0,1311628.4713745117,595774.9042510986,0.45422535211267606,0.8247160912136249
A0,2,S_AIR_M,1.0,0.0,9.0,1578739.259835816,1230374.423160553,0.7793398533007334,0.7772225738114726
A0,3,S1,1.0,0.0,2.0,233513.53172648518,271241.171598548,0.8609073996778709,0.9113563299815817
A0,3,S2,1.0,0.0,2.0,225464.641424401,284372.3126059936,0.7928501876931642,0.9217974544215507
A0,3,S3,1.0,0.0,2.0,189121.94561958313,85903.98234128952,0.45422535211267606,0.7009708881867919
A0,3,S4,1.0,0.0,2.0,532841.0139257038,754236.44626793,0.7064641553219521,0.919866681163205
A0,3,S5,1.0,0.0,15.0,2031257.6000000006,1583040.0,0.7793398533007334,1.0000000000698654
A0,3,S6,1.0,0.0,2.0,1069152.4236679077,485636.1361026762,0.4542253521126759,0.6722537875645147
A0,3,S7,1.0,0.0,2.0,607301.3040674569,773281.9945680262,0.7853555473080819,0.9866947532389498
A0,3,S8,1.0,0.0,2.0,9713688.49264035,14768914.066532753,0.657711761940043,0.8582015634182654
A0,3,S9,1.0,0.0,2.0,1169415.534210205,531178.1827926633,0.4542253521126759,0.7352964878595991
A0,3,S_AIR_M,1.0,0.0,15.0,2031257.6000000006,1583040.0,0.7793398533007334,1.0000000000698654
A0,4,S1,1.0,0.0,2.0,235282.1334809065,318567.8665190935,0.7385620403331069,1.0000000000698672
A0,4,S2,1.0,0.0,2.0,246025.1387937292,248281.97853193438,0.9909101749891405,0.893719136777377
A0,4,S3,1.0,0.0,2.0,169362.37736940384,76928.68549525738,0.45422535211267606,0.6277330518207436
A0,4,S4,1.0,0.0,6.0,551152.3658752441,428487.35761642456,0.7774390243902439,0.7001427412522242
A0,4,S5,1.0,0.0,2.0,1405976.1058654785,1095733.2120895386,0.7793398533007335,0.6921702623850896
A0,4,S6,1.0,0.0,17.0,1314631.2997817993,597138.8650417328,0.45422535211267606,0.8266041875463068
A0,4,S7,1.0,0.0,2.0,535062.1994018555,415978.23429107666,0.7774390243902439,0.6797029972551296
A0,4,S8,1.0,0.0,2.0,10223268.797340222,14747442.437586956,0.6932231700924684,0.8753114939347503
A0,4,S9,1.0,0.0,5.0,1033692.9418563843,469529.5404911041,0.45422535211267606,0.6499578357196953
A0,4,S_AIR_M,1.0,0.0,2.0,1405976.1058654785,1095733.2120895386,0.7793398533007335,0.6921702623850896
A0,5,S1,1.0,0.0,2.0,235628.17319833272,190966.44966996677,0.8104567763602142,0.7702349424900324
A0,5,S2,1.0,0.0,2.0,225384.85954005166,238197.09781568602,0.9462116104976708,0.8381673098196079
A0,5,S3,1.0,0.0,2.0,184484.41076278687,83797.49643802643,0.45422535211267606,0.6837821007252638
A0,5,S4,1.0,0.0,6.0,564401.0101318359,438787.3706817627,0.7774390243902439,0.7169728279614689
A0,5,S5,1.0,0.0,5.0,1390515.2830291751,1083683.976688385,0.7793398533007334,0.6845588088513854
A0,5,S6,1.0,0.0,2.0,1066137.3666763306,484266.6207790373,0.4542253521126759,0.6703580022326562
A0,5,S7,1.0,0.0,4.0,553695.1435089111,430464.21217918396,0.7774390243902439,0.7033728957667625
A0,5,S8,1.0,0.0,2.0,9749564.634744968,15557699.570031323,0.6266713527188482,0.8871088624620334
A0,5,S9,1.0,0.0,2.0,1046163.9175415039,475194.17381286604,0.4542253521126759,0.6577992439729592
A0,5,S_AIR_M,1.0,0.0,5.0,1390515.2830291751,1083683.976688385,0.7793398533007334,0.6845588088513854
A0,6,S1,1.0,0.0,2.0,235805.61773777008,183324.48939979076,0.7774390243902439,0.7567574382357034
