config,scenario,n_seeds,convergence_rate_mean,convergence_rate_ci95_lo,convergence_rate_ci95_hi,mean_rounds_mean,mean_rounds_ci95_lo,mean_rounds_ci95_hi,welfare_dc_mean,welfare_dc_ci95_lo,welfare_dc_ci95_hi,welfare_mfg_mean,welfare_mfg_ci95_lo,welfare_mfg_ci95_hi,shapley_fairness_mean,shapley_fairness_ci95_lo,shapley_fairness_ci95_hi,price_of_anarchy_mean,price_of_anarchy_ci95_lo,price_of_anarchy_ci95_hi
A0,S1,10,1.0,1.0,1.0,2.3,1.6213528511605384,2.9786471488394612,226707.2806297656,216932.59640085459,236481.9648586766,217397.65384714643,169126.05156883036,265669.2561254625,0.7691246292604038,0.7246938384906403,0.8135554200301673,0.801850563343758,0.712103943373572,0.8915971833139441
A0,S2,10,1.0,1.0,1.0,2.0,2.0,2.0,226583.42689463537,216784.8235412484,236382.03024802235,234748.0597309764,195614.37293389416,273881.74652805866,0.8318733220001422,0.7686129171207853,0.8951337268794991,0.834098404704196,0.7562244831694731,0.911972326238919
A0,S3,10,1.0,1.0,1.0,2.0,2.0,2.0,180518.51600170135,176453.82891225707,184583.20309114564,81996.08649373055,80149.80256929986,83842.37041816123,0.45422535211267606,0.45422535211267606,0.45422535211267606,0.6690827131738828,0.6540171568739263,0.6841482694738393
A0,S4,10,1.0,1.0,1.0,5.7,1.4605085148624068,9.939491485137594,581487.1307962569,500567.26984669134,662406.9917458226,486069.29248636635,394359.74727964133,577778.8376930914,0.7703415374834147,0.7542859066392646,0.7863971683275648,0.7629762888487772,0.6539784072352881,0.8719741704622663
A0,S5,10,1.0,1.0,1.0,7.2,3.539931930081481,10.860068069918519,1571206.583841248,1404326.867899996,1738086.2997825,1224503.9085559845,1094447.8952154613,1354559.9218965077,0.7793398533007334,0.7793398533007334,0.7793398533007334,0.7735141933504743,0.6913583328860453,0.8556700538149034
A0,S6,10,1.0,1.0,1.0,5.9,1.3201015655710906,10.479898434428911,1092781.9825172424,1007403.6735831617,1178160.2914513233,496369.28079128254,457588.28835291485,535150.2732296502,0.454225352112676,0.45422535211267595,0.45422535211267606,0.687111407566392,0.6334278632127415,0.7407949519200425
A0,S7,10,1.0,1.0,1.0,2.2,1.7475685674403592,2.652431432559641,531040.1038456868,502980.55985911534,559099.6478322583,458423.6752652218,375248.814757842,541598.5357726016,0.7975835079746283,0.7613959787609651,0.8337710371882915,0.7071639359491411,0.633239068979401,0.7810888029188812
A0,S8,10,1.0,1.0,1.0,2.0,2.0,2.0,9201737.796808522,8332771.201226531,10070704.392390514,15322406.805396039,14003540.657219045,16641272.953573033,0.6124225792800199,0.522240219278264,0.7026049392817757,0.8596577585344103,0.8263172483960212,0.8929982686727994
A0,S9,10,1.0,1.0,1.0,4.9,0.9753040069465686,8.824695993053432,1076503.2626724243,998691.1042474608,1154315.4210973878,488975.0735378265,453630.8184786001,524319.3285970528,0.454225352112676,0.45422535211267595,0.45422535211267606,0.6768757939811585,0.6279496380264302,0.7258019499358868
A0,S_AIR_M,10,1.0,1.0,1.0,7.2,3.539931930081481,10.860068069918519,1571206.583841248,1404326.867899996,1738086.2997825,1224503.9085559845,1094447.8952154613,1354559.9218965077,0.7793398533007334,0.7793398533007334,0.7793398533007334,0.7735141933504743,0.6913583328860453,0.8556700538149034
