config,scenario,n_seeds,convergence_rate_mean,convergence_rate_ci95_lo,convergence_rate_ci95_hi,mean_rounds_mean,mean_rounds_ci95_lo,mean_rounds_ci95_hi,welfare_dc_mean,welfare_dc_ci95_lo,welfare_dc_ci95_hi,welfare_mfg_mean,welfare_mfg_ci95_lo,welfare_mfg_ci95_hi,shapley_fairness_mean,shapley_fairness_ci95_lo,shapley_fairness_ci95_hi,price_of_anarchy_mean,price_of_anarchy_ci95_lo,price_of_anarchy_ci95_hi
A0,S1,5,1.0,1.0,1.0,7.4,1.8056181276178744,12.994381872382126,289751.1959528923,255642.2569451251,323860.1349606595,248875.391086936,205895.38301745616,291855.39915641584,0.7808134217758368,0.7714445926716152,0.7901822508800583,0.9725134731018519,0.9226264667194364,1.0224004794842674
A0,S2,5,1.0,1.0,1.0,7.0,1.5877121099971232,12.412287890002876,283666.23707978503,252521.10294239374,314811.3712171763,234679.5362259887,198215.2360519874,271143.83639999,0.8168420313899073,0.7127192925999649,0.9209647701798497,0.9371816039740172,0.8393083522893444,1.03505485565869
A0,S3,5,1.0,1.0,1.0,4.0,-1.5528902103955868,9.552890210395587,213874.35613393784,170869.2223064815,256879.48996139417,97147.15472280978,77613.13266738069,116681.17677823886,0.454225352112676,0.4542253521126759,0.4542253521126761,0.7927144408779856,0.6333180960653061,0.9521107856906651
A0,S4,5,1.0,1.0,1.0,11.6,8.609677106109597,14.590322893890402,773930.6449127197,749001.030809362,798860.2590160775,601683.8855266571,582302.6306597174,621065.1403935968,0.7774390243902439,0.7774390243902439,0.7774390243902439,0.9831436038704154,0.9514748867653601,1.014812320975471
A0,S5,5,1.0,1.0,1.0,6.2,3.2355678349333856,9.164432165066614,1822653.67767395,1595807.2591429732,2049500.096204927,1420466.6497764587,1243676.1952367309,1597257.1043161866,0.7793398533007335,0.7793398533007334,0.7793398533007336,0.8973030687005383,0.7856252497243409,1.0089808876767359
A0,S6,5,1.0,1.0,1.0,2.8,1.4398252386834887,4.160174761316511,1233957.4712371826,1105222.7688302053,1362692.17364416,560494.7668647765,502020.2013348465,618969.3323947064,0.454225352112676,0.4542253521126759,0.4542253521126761,0.7758786917274858,0.6949338335685499,0.8568235498864217
A0,S7,5,1.0,1.0,1.0,12.2,9.235567834933384,15.164432165066614,783281.4582824707,772401.8423113232,794161.0742536183,608953.5727500916,600495.3347237421,617411.810776441,0.7774390243902439,0.7774390243902439,0.7774390243902439,0.9950221777657461,0.9812015273949284,1.0088428281365638
A0,S8,5,1.0,1.0,1.0,2.0,2.0,2.0,12892375.445361536,11223590.131883513,14561160.758839559,15079621.336991388,13395692.120568918,16763550.553413859,0.8444939872224138,0.6862609515792053,1.0027270228656222,0.9805171371191329,0.9455463711958271,1.0154879030424389
A0,S9,5,1.0,1.0,1.0,3.2,1.581068215291297,4.818931784708703,1255594.0836715698,1164891.9532737792,1346296.2140693604,570322.6647663116,529123.4576490053,611521.871883618,0.454225352112676,0.4542253521126759,0.4542253521126761,0.7894832015589112,0.7324521839506821,0.8465142191671402
A0,S_AIR_M,5,1.0,1.0,1.0,6.2,3.2355678349333856,9.164432165066614,1822653.67767395,1595807.2591429732,2049500.096204927,1420466.6497764587,1243676.1952367309,1597257.1043161866,0.7793398533007335,0.7793398533007334,0.7793398533007336,0.8973030687005383,0.7856252497243409,1.0089808876767359
D,S1,5,1.0,1.0,1.0,13.4,10.825230732070924,15.974769267929076,-10872.441673278809,-11750.634170722324,-9994.249175835293,539091.8996334076,495548.18830183323,582635.610964982,0.010186757215619692,0.010186757215619692,0.010186757215619692,0.9537229538630208,0.8766885242573302,1.0307573834687114
