config,seed,scenario,convergence_rate,timeout_rate,mean_rounds,welfare_dc,welfare_mfg,shapley_fairness,price_of_anarchy
A0,0,S1,1.0,0.0,3.0,252545.45878469944,301304.54121530056,0.838173423361184,1.0000000000698672
A0,0,S2,1.0,0.0,2.0,267212.4968582392,285877.5031417608,0.9347097757662095,1.0000000000698672
A0,0,S3,1.0,0.0,2.0,208063.02225589752,94507.4995458126,0.45422535211267606,0.7711750269474952
A0,0,S4,1.0,0.0,11.0,787200.0,612000.0,0.7774390243902439,1.000000000069866
A0,0,S5,1.0,0.0,5.0,1739737.4466766352,1355846.726474762,0.7793398533007335,0.8564829230906915
A0,0,S6,1.0,0.0,3.0,1319155.0228118896,599193.6547279358,0.45422535211267606,0.829448580799832
A0,0,S7,1.0,0.0,5.0,691101.2294769287,537289.0655994415,0.7774390243902439,0.8779233098643459
A0,0,S8,1.0,0.0,2.0,14039670.99993229,14488129.00006771,0.9690465207665303,1.0000000000698654
A0,0,S9,1.0,0.0,2.0,1251353.1158447266,568396.3096618652,0.45422535211267606,0.7868165970398344
A0,1,S1,1.0,0.0,2.0,257881.13916992414,212386.15788937343,0.8235815871335471,0.8490878344175388
A0,1,S2,1.0,0.0,2.0,253935.66866636276,197902.18676626682,0.7793398533007335,0.8169336915586943
A0,1,S3,1.0,0.0,2.0,192185.82553863525,87295.67427635193,0.45422535211267606,0.7123270035287719
A0,1,S4,1.0,0.0,15.0,787200.0,612000.0,0.7774390243902439,1.000000000069866
A0,1,S5,1.0,0.0,4.0,1574412.738061524,1227002.5923156738,0.7793398533007334,0.7750926018302753
A0,1,S6,1.0,0.0,2.0,1081757.9137802124,491361.86928749067,0.4542253521126759,0.6801797748087208
A0,1,S7,1.0,0.0,14.0,787200.0,612000.0,0.7774390243902439,1.000000000069866
A0,1,S8,1.0,0.0,2.0,13670085.698673462,13631704.647960925,0.9971923328383923,0.9570240379048451
A0,1,S9,1.0,0.0,2.0,1161456.5269470215,527562.9999160764,0.4542253521126759,0.7302920818839077
A0,2,S1,1.0,0.0,9.0,311600.0,242250.0,0.7774390243902439,1.0000000000698672
A0,2,S2,1.0,0.0,8.0,301917.004032135,235295.95363140106,0.7793398533007335,0.9712939263068754
A0,2,S3,1.0,0.0,2.0,225573.55173826218,102461.22596561909,0.45422535211267606,0.8360769153225436
A0,2,S4,1.0,0.0,8.0,787200.0,612000.0,0.7774390243902439,1.000000000069866
A0,2,S5,1.0,0.0,11.0,2031257.6000000006,1583040.0,0.7793398533007334,1.0000000000698654
A0,2,S6,1.0,0.0,2.0,1342190.6421661377,609657.0170402527,0.45422535211267606,0.843932747899843
A0,2,S7,1.0,0.0,9.0,787200.0,612000.0,0.7774390243902439,1.000000000069866
A0,2,S8,1.0,0.0,2.0,11242867.063570023,17284932.936429977,0.6504431984155629,1.0000000000698654
A0,2,S9,1.0,0.0,3.0,1352899.3745803833,614521.1947917938,0.45422535211267606,0.8506661058066549
A0,3,S1,1.0,0.0,8.0,311600.0,242250.0,0.7774390243902439,1.0000000000698672
A0,3,S2,1.0,0.0,4.0,261572.3019206524,291517.6980793476,0.897277604907046,1.0000000000698672
A0,3,S3,1.0,0.0,3.0,220712.11647987366,100253.03882360458,0.45422535211267606,0.8180582523917498
A0,3,S4,1.0,0.0,10.0,787200.0,612000.0,0.7774390243902439,1.000000000069866
A0,3,S5,1.0,0.0,8.0,1821175.3353912358,1419314.5187187195,0.7793398533007334,0.896575272145922
A0,3,S6,1.0,0.0,3.0,1262693.7532424927,573547.5146770477,0.45422535211267606,0.793947279508747
A0,3,S7,1.0,0.0,11.0,787200.0,612000.0,0.7774390243902439,1.000000000069866
A0,3,S8,1.0,0.0,2.0,15917678.71736288,12610121.28263712,0.7922085566962783,1.0000000000698654
A0,3,S9,1.0,0.0,2.0,1223411.0851287842,555704.3309211731,0.45422535211267606,0.7692474127353233
A0,4,S1,1.0,0.0,2.0,237719.81444060802,316130.185559392,0.7519680982692721,1.0000000000698672
A0,4,S2,1.0,0.0,3.0,239564.94794428349,313525.0520557165,0.7641014533719317,1.0000000000698672
A0,4,S3,1.0,0.0,2.0,210825.3128528595,95762.2019648552,0.45422535211267606,0.7814133167812793
A0,4,S4,1.0,0.0,7.0,707405.4954528809,549964.6382331848,0.7774390243902439,0.8986350298555695
A0,4,S5,1.0,0.0,8.0,1889578.207629395,1472623.6031341553,0.7793398533007334,0.9302504063302511
A0,4,S6,1.0,0.0,5.0,1340371.142578125,608830.5541992188,0.45422535211267606,0.8427886963479442
A0,4,S7,1.0,0.0,6.0,702955.9513092041,546505.3889751434,0.7774390243902439,0.8929826617864796
A0,4,S8,1.0,0.0,2.0,12310192.000300486,14194263.658540647,0.8672652767650604,0.9290746451073297
A0,4,S9,1.0,0.0,5.0,1357386.2222671509,616559.2347621918,0.45422535211267606,0.8534873128533609
D,0,S1,1.0,0.0,16.0,-11400.0,565250.0,0.010186757215619692,1.0000000000698672
D,0,S2,1.0,0.0,2.0,91339.92178525297,261705.437027556,0.3490180518322032,0.6383144855945241
D,0,S3,1.0,0.0,17.0,-15200.0,407549.99999999994,0.01900237529691211,1.0000000000698666
D,0,S4,1.0,0.0,19.0,787200.0,612000.0,0.7774390243902439,1.000000000069866
D,0,S5,1.0,0.0,10.0,1751683.1748809814,1365156.5085411072,0.7793398533007335,0.8623638749725113
D,0,S6,1.0,0.0,8.0,1289590.287399292,585764.6023750305,0.45422535211267606,0.8108590841859844
