scenario,metric,n_paired,gap_D_minus_A0_mean,ci95_lo,ci95_hi,bootstrap_std,significant_at_95,n_bootstrap
S1,price_of_anarchy,10,-0.25598,-0.339412,-0.186425,0.03966,True,10000
S1,shapley_fairness,10,-0.758938,-0.791707,-0.719026,0.018406,True,10000
S1,convergence_rate,10,0.0,0.0,0.0,0.0,False,10000
S2,price_of_anarchy,10,-0.270115,-0.347202,-0.191533,0.039609,True,10000
S2,shapley_fairness,10,-0.821,-0.874623,-0.771045,0.026559,True,10000
S2,convergence_rate,10,0.0,0.0,0.0,0.0,False,10000
S3,price_of_anarchy,10,-0.070336,-0.128275,0.029344,0.045695,False,10000
S3,shapley_fairness,10,-0.435223,-0.435223,-0.435223,0.0,True,10000
S3,convergence_rate,10,0.0,0.0,0.0,0.0,False,10000
S4,price_of_anarchy,10,0.231193,0.139366,0.310479,0.04399,True,10000
S4,shapley_fairness,10,0.007097,0.0,0.021292,0.006667,False,10000
S4,convergence_rate,10,0.0,0.0,0.0,0.0,False,10000
S5,price_of_anarchy,10,0.108631,0.047142,0.167913,0.030929,True,10000
S5,shapley_fairness,10,0.0,-0.0,0.0,0.0,False,10000
S5,convergence_rate,10,0.0,0.0,0.0,0.0,False,10000
S6,price_of_anarchy,10,0.222235,0.154427,0.285662,0.033441,True,10000
S6,shapley_fairness,10,0.0,0.0,0.0,0.0,True,10000
S6,convergence_rate,10,0.0,0.0,0.0,0.0,False,10000
S7,price_of_anarchy,10,0.292836,0.223159,0.340406,0.03126,True,10000
S7,shapley_fairness,10,-0.020144,-0.053173,0.0,0.015126,False,10000
S7,convergence_rate,10,0.0,0.0,0.0,0.0,False,10000
S8,price_of_anarchy,10,-0.137057,-0.175462,-0.097422,0.019973,True,10000
S8,shapley_fairness,10,0.163937,0.051879,0.271951,0.055937,True,10000
S8,convergence_rate,10,0.0,0.0,0.0,0.0,False,10000
S9,price_of_anarchy,10,0.151767,0.120012,0.189361,0.017878,True,10000
S9,shapley_fairness,10,0.0,-0.0,0.0,0.0,False,10000
S9,convergence_rate,10,0.0,0.0,0.0,0.0,False,10000
