scenario,metric,n_paired,gap_D_minus_A0_mean,ci95_lo_bca,ci95_hi_bca,bootstrap_std,significant_at_95_bca,n_bootstrap,method
S1,price_of_anarchy,10,-0.256,-0.3631,-0.1967,0.0397,True,10000,BCa
S1,shapley_fairness,10,-0.7589,-0.7867,-0.7063,0.0187,True,10000,BCa
S1,convergence_rate,10,0.0,0.0,0.0,0.0,False,10000,BCa
S2,price_of_anarchy,10,-0.2701,-0.3473,-0.1901,0.0399,True,10000,BCa
S2,shapley_fairness,10,-0.821,-0.8793,-0.774,0.0267,True,10000,BCa
S2,convergence_rate,10,0.0,0.0,0.0,0.0,False,10000,BCa
S3,price_of_anarchy,10,-0.0703,-0.1228,0.0783,0.0451,False,10000,BCa
S3,shapley_fairness,10,-0.4352,-0.4352,-0.4352,0.0,True,10000,BCa
S3,convergence_rate,10,0.0,0.0,0.0,0.0,False,10000,BCa
S4,price_of_anarchy,10,0.2312,0.1275,0.3043,0.0443,True,10000,BCa
S4,shapley_fairness,10,0.0071,0.0,0.0213,0.0067,False,10000,BCa
S4,convergence_rate,10,0.0,0.0,0.0,0.0,False,10000,BCa
S5,price_of_anarchy,10,0.1086,0.0464,0.1668,0.0308,True,10000,BCa
S5,shapley_fairness,10,0.0,-0.0,0.0,0.0,False,10000,BCa
S5,convergence_rate,10,0.0,0.0,0.0,0.0,False,10000,BCa
S6,price_of_anarchy,10,0.2222,0.1535,0.2829,0.0331,True,10000,BCa
S6,shapley_fairness,10,0.0,0.0,0.0,0.0,True,10000,BCa
S6,convergence_rate,10,0.0,0.0,0.0,0.0,False,10000,BCa
S7,price_of_anarchy,10,0.2928,0.1883,0.3314,0.0309,True,10000,BCa
S7,shapley_fairness,10,-0.0201,-0.0844,-0.0032,0.0152,True,10000,BCa
S7,convergence_rate,10,0.0,0.0,0.0,0.0,False,10000,BCa
S8,price_of_anarchy,10,-0.1371,-0.1736,-0.0956,0.0198,True,10000,BCa
S8,shapley_fairness,10,0.1639,0.0539,0.2726,0.0553,True,10000,BCa
S8,convergence_rate,10,0.0,0.0,0.0,0.0,False,10000,BCa
S9,price_of_anarchy,10,0.1518,0.1243,0.2002,0.018,True,10000,BCa
S9,shapley_fairness,10,0.0,-0.0,0.0,0.0,False,10000,BCa
S9,convergence_rate,10,0.0,0.0,0.0,0.0,False,10000,BCa
