config,seed,scenario,convergence_rate,timeout_rate,mean_rounds,welfare_dc,welfare_mfg,shapley_fairness,price_of_anarchy
A0,0,S1,0.0,1.0,20.0,3215.752668508024,14663.883942350116,0.21929747133504993,0.032282453032603305
A0,0,S2,0.0,1.0,20.0,16687.88149158906,56820.77102844166,0.2936933306173534,0.13290540874932935
A0,0,S3,0.0,1.0,20.0,32720.12285716909,60126.42550788745,0.5441887253529953,0.23664215208753261
A0,0,S4,1.0,0.0,2.0,352206.783828182,638350.262060719,0.5517453422689761,0.7079452872770919
A0,0,S5,1.0,0.0,2.0,930497.6599037049,1761369.908045209,0.5282806613497689,0.7447830439134239
A0,0,S6,1.0,0.0,2.0,672724.1613737163,653800.58051433,0.9718702226767887,0.5735579133434471
A0,0,S7,1.0,0.0,2.0,344606.9655119102,640100.7374109108,0.5383636439879473,0.7037647963061882
A0,0,S8,1.0,0.0,2.0,7160890.394381523,14342774.494977951,0.4992681434745328,0.7537792921592916
A0,0,S9,1.0,0.0,2.0,667029.9219502931,659405.3529367918,0.9885693748322285,0.5735192299289851
A0,1,S1,0.0,1.0,20.0,8704.216621598689,38914.65816445044,0.22367449778988985,0.08597792685632595
A0,1,S2,0.0,1.0,20.0,4358.199025418627,20225.753091547624,0.21547771327436643,0.04444837570500979
A0,1,S3,1.0,0.0,13.0,0.0,0.0,0.0,0.0
A0,1,S4,1.0,0.0,2.0,439829.7541365147,616146.8265309811,0.713839194162269,0.7547002435257807
A0,1,S5,1.0,0.0,2.0,1095613.310284935,1734051.4303988118,0.6318228462422,0.782908618504863
A0,1,S6,1.0,0.0,2.0,753437.8488256822,602441.1677167525,0.7995897321268436,0.5862500071935159
A0,1,S7,1.0,0.0,2.0,430577.38913053257,623623.9642763736,0.6904439434590299,0.7534314990570031
A0,1,S8,1.0,0.0,2.0,8719286.721292825,14055322.311326168,0.6203548042627651,0.7983303666672562
A0,1,S9,1.0,0.0,2.0,753363.7541876439,598003.5889996883,0.7937780198152995,0.5842992663791706
D,0,S1,1.0,0.0,2.0,-8081.203544139862,400693.0090636015,0.010186757215619692,0.7088775039214451
D,0,S2,1.0,0.0,2.0,-8601.331253051758,399827.5074660778,0.010873258579680595,0.7073463202017031
D,0,S3,1.0,0.0,2.0,-10686.873054504395,286541.7837738991,0.01900237529691211,0.7030837536349376
D,0,S4,1.0,0.0,2.0,30399.445693187776,1015555.6826904488,0.029933804922101757,0.7475379705951352
D,0,S5,1.0,0.0,2.0,311432.9708664793,2341694.6598654846,0.132994696620425,0.7340645194566506
D,0,S6,1.0,0.0,2.0,106522.43186273208,1511825.608336547,0.07045947050727504,0.6997354031098
D,0,S7,1.0,0.0,2.0,40363.12186880127,989393.6207039834,0.040795817785930034,0.7359610796488918
D,0,S8,1.0,0.0,2.0,5467729.135332253,16912559.59885345,0.3232940054622441,0.7845080495428779
D,0,S9,1.0,0.0,2.0,113393.05643675146,1477844.5525205384,0.07672867639790253,0.688013494062808
D,1,S1,1.0,0.0,2.0,-8245.2406167984,408826.51391625404,0.010186757215619692,0.7232667208223222
D,1,S2,1.0,0.0,2.0,-8828.572540283203,410390.676677227,0.010873258579680595,0.7260339260608578
D,1,S3,1.0,0.0,2.0,-10442.087984085083,279978.4840732813,0.01900237529691211,0.6869794726851735
D,1,S4,1.0,0.0,8.0,-21802.502059936523,1081040.7271385193,0.010186757215619692,0.7570313215784643
D,1,S5,1.0,0.0,2.0,336626.66353614803,2462507.9208167265,0.13670074345364988,0.7744615674559939
D,1,S6,1.0,0.0,2.0,92189.66450983883,1617583.31165021,0.05699222033626801,0.7392653823415353
D,1,S7,1.0,0.0,17.0,-21352.869415283203,1058746.4418411255,0.010186757215619692,0.7414190769713556
D,1,S8,1.0,0.0,2.0,6084765.4369509695,17030732.55844946,0.35728148604694826,0.8102797270387273
D,1,S9,1.0,0.0,2.0,84791.11734250272,1610970.554486721,0.052633561244400585,0.7332072258507863
