bonus_scale,scenario,seed,final_poa,welfare_dc,welfare_mfg,shapley_fairness,n_rounds,converged,convergence_rate,model_path_in_volume
0.0,S1,0,0.8853629231452942,258746.78285665624,231611.47212736495,0.8951279299796199,12,True,1.0,D_BONUS0/S1_seed0.zip
0.0,S1,1,0.883409321308136,275270.3445196152,214005.90808689594,0.7774390243902439,12,True,1.0,D_BONUS0/S1_seed1.zip
0.0,S1,2,0.0,0.0,0.0,0.0,17,True,1.0,D_BONUS0/S1_seed2.zip
0.0,S1,3,0.8470546007156372,244065.3272303154,225075.86337604027,0.9221951595100788,9,True,1.0,D_BONUS0/S1_seed3.zip
0.0,S1,4,0.8598686456680298,238909.45402774427,237328.79537549402,0.9933838589239474,10,True,1.0,D_BONUS0/S1_seed4.zip
0.0,S1,5,0.8472514748573303,258898.95913794747,210351.27021178493,0.8124840320416455,11,True,1.0,D_BONUS0/S1_seed5.zip
0.0,S1,6,0.8958839774131775,279157.4473619461,217027.89352834225,0.7774390243902439,11,True,1.0,D_BONUS0/S1_seed6.zip
0.0,S1,7,0.8895326852798462,277178.3847332001,215489.29300904274,0.7774390243902439,11,True,1.0,D_BONUS0/S1_seed7.zip
0.0,S1,8,0.8284123539924622,182519.6940405873,276296.4882181379,0.6605936080392261,2,True,1.0,D_BONUS0/S1_seed8.zip
0.0,S1,9,0.8827533721923828,247853.4039981667,241059.55119058452,0.9725892293670797,11,True,1.0,D_BONUS0/S1_seed9.zip
0.0,S2,0,0.9103500247001648,282037.00559026125,221468.48957115287,0.7852462094740098,12,True,1.0,D_BONUS0/S2_seed0.zip
0.0,S2,1,0.8979015946388245,279103.7316775322,217516.66130125523,0.7793398533007335,11,True,1.0,D_BONUS0/S2_seed1.zip
0.0,S2,2,0.0,0.0,0.0,0.0,17,True,1.0,D_BONUS0/S2_seed2.zip
0.0,S2,3,0.8453690409660339,238021.0939100805,229544.0689578232,0.9643854046168703,9,True,1.0,D_BONUS0/S2_seed3.zip
0.0,S2,4,0.8366727828979492,239475.50049079658,223279.84900223016,0.9323703199059031,11,True,1.0,D_BONUS0/S2_seed4.zip
0.0,S2,5,0.8550288677215576,254981.8525849005,217926.0638632158,0.8546728390823558,10,True,1.0,D_BONUS0/S2_seed5.zip
0.0,S2,6,0.8976516127586365,279026.02730989456,217456.1031907797,0.7793398533007335,11,True,1.0,D_BONUS0/S2_seed6.zip
0.0,S2,7,0.8856574892997742,274245.6053598796,215602.69539693248,0.7861664551160524,11,True,1.0,D_BONUS0/S2_seed7.zip
0.0,S2,8,0.8388329744338989,174147.03930820883,289803.0905214363,0.6009150523373293,2,True,1.0,D_BONUS0/S2_seed8.zip
0.0,S2,9,0.889640748500824,242162.58873043687,249888.81285788387,0.9690813524659831,10,True,1.0,D_BONUS0/S2_seed9.zip
0.0,S3,0,0.870145976543427,224555.20776195973,116846.56613485375,0.5203467214116773,12,True,1.0,D_BONUS0/S3_seed0.zip
0.0,S3,1,0.8374845981597902,225953.34458351135,102633.73750448227,0.45422535211267606,11,True,1.0,D_BONUS0/S3_seed1.zip
