config,scenario,seed,final_poa,welfare_dc,welfare_mfg,shapley_fairness,n_rounds,converged,convergence_rate,model_path_in_volume
A0,S1,0,0.9005653262138367,274721.64646908105,224056.45945445236,0.8155762836099227,2,True,1.0,A0/S1_seed0.zip
A0,S1,1,0.8452740907669067,261236.0778012868,206918.9773699645,0.7920765734637952,2,True,1.0,A0/S1_seed1.zip
A0,S1,2,0.851947546005249,265466.8553352356,206384.29301977158,0.7774390243902439,2,True,1.0,A0/S1_seed2.zip
A0,S1,3,0.8948937654495239,258984.6587575513,236652.25323666752,0.9137693883953556,2,True,1.0,A0/S1_seed3.zip
A0,S1,4,0.9094286561012268,265027.39257215254,238659.66860951192,0.9005094390178469,2,True,1.0,A0/S1_seed4.zip
A0,S1,5,0.8508360385894775,265120.5096244812,206115.03034830093,0.7774390243902439,2,True,1.0,A0/S1_seed5.zip
A0,S1,6,0.8539398312568665,266087.6514196396,206866.9241219759,0.7774390243902439,2,True,1.0,A0/S1_seed6.zip
A0,S1,7,0.9053093194961548,270660.25915575406,230745.30744719127,0.8525274754666019,2,True,1.0,A0/S1_seed7.zip
A0,S1,8,0.8016825914382935,249804.29549217224,194207.6077759266,0.7774390243902439,2,True,1.0,A0/S1_seed8.zip
A0,S1,9,0.8472654819488525,264007.92417526245,205250.06300210953,0.7774390243902439,4,True,1.0,A0/S1_seed9.zip
A0,S1,10,0.7833603024482727,235769.73968746784,198094.363823508,0.8402026658980855,2,True,1.0,A0/S1_seed10.zip
A0,S1,11,0.8788291215896606,273843.15428733826,212896.3547050953,0.7774390243902439,4,True,1.0,A0/S1_seed11.zip
A0,S1,12,0.8522429466247559,265558.9021682739,206455.8538198471,0.7774390243902439,2,True,1.0,A0/S1_seed12.zip
A0,S1,13,0.935092031955719,274944.8424913126,242955.8794073624,0.8836531618702365,2,True,1.0,A0/S1_seed13.zip
A0,S1,14,0.815847635269165,254218.12314987183,197639.08964395523,0.7774390243902439,2,True,1.0,A0/S1_seed14.zip
A0,S1,15,0.8189668655395508,255190.07530212402,198394.72317695618,0.7774390243902439,2,True,1.0,A0/S1_seed15.zip
A0,S1,16,0.9016297459602356,266340.65774100757,233026.97705906891,0.8749207839145111,2,True,1.0,A0/S1_seed16.zip
A0,S1,17,0.8747833967208862,254808.3168004755,229690.46747338734,0.901424531025977,2,True,1.0,A0/S1_seed17.zip
A0,S1,18,0.9236228466033936,280822.334029198,230726.1795620915,0.8216090802026522,2,True,1.0,A0/S1_seed18.zip
A0,S1,19,0.8790650963783264,273916.6840314865,212953.51959764957,0.7774390243902439,4,True,1.0,A0/S1_seed19.zip
A0,S1,20,0.8466669321060181,263821.41604423523,205105.06430268288,0.7774390243902439,2,True,1.0,A0/S1_seed20.zip
A0,S1,21,0.9155543446540833,266325.67116818734,240754.10261847667,0.9039838388933902,2,True,1.0,A0/S1_seed21.zip
A0,S1,22,0.7967430353164673,248265.1298046112,193011.0003054142,0.7774390243902439,2,True,1.0,A0/S1_seed22.zip
A0,S1,23,0.8723912835121155,250227.11907037918,232946.79330280598,0.9309414349980467,2,True,1.0,A0/S1_seed23.zip
A0,S1,24,0.8725279569625854,267628.045101786,215621.56386194198,0.8056762652805519,2,True,1.0,A0/S1_seed24.zip
A0,S1,25,0.8394632339477539,249349.39540377632,215587.31671818718,0.8645993160283479,2,True,1.0,A0/S1_seed25.zip
A0,S1,26,0.8621671795845032,251677.39396159624,225833.89845128084,0.8973149908161443,2,True,1.0,A0/S1_seed26.zip
A0,S1,27,0.8947011232376099,268526.5243966154,227003.6927085348,0.8453678578628929,2,True,1.0,A0/S1_seed27.zip
A0,S1,28,0.9008989930152893,261265.62618489924,237697.28109661874,0.9097916345428426,2,True,1.0,A0/S1_seed28.zip
A0,S1,29,0.8673058152198792,247224.89826622946,233132.4274933006,0.9429973644573902,2,True,1.0,A0/S1_seed29.zip
A0,S2,0,0.8745404481887817,259230.17676744433,224469.39972128897,0.8659076752575019,2,True,1.0,A0/S2_seed0.zip
A0,S2,1,0.8409969210624695,261415.482943058,203731.50412738323,0.7793398533007335,2,True,1.0,A0/S2_seed1.zip
A0,S2,2,0.8928086161613464,266860.2610381228,226943.2564745563,0.8504198249365269,2,True,1.0,A0/S2_seed2.zip
A0,S2,3,0.9165919423103333,257477.61620750185,249480.22116492037,0.9689394551636038,2,True,1.0,A0/S2_seed3.zip
A0,S2,4,0.908727765083313,258309.93590212992,244298.30368779966,0.9457565108155997,2,True,1.0,A0/S2_seed4.zip
A0,S2,5,0.9404337406158447,292324.4239330292,227820.07366418839,0.7793398533007335,2,True,1.0,A0/S2_seed5.zip
A0,S2,6,0.841718852519989,261639.88811731339,203906.39202296734,0.7793398533007335,2,True,1.0,A0/S2_seed6.zip
A0,S2,7,0.9008091688156128,250817.83601381438,247410.7071664129,0.9864159228005863,2,True,1.0,A0/S2_seed7.zip
A0,S2,8,0.8053999543190002,250350.52180051804,195108.1389337778,0.7793398533007335,2,True,1.0,A0/S2_seed8.zip
A0,S2,9,0.8399733901023865,261097.3285794258,203483.55375230312,0.7793398533007335,2,True,1.0,A0/S2_seed9.zip
A0,S2,10,0.8507564663887024,264449.14001226425,206095.75398266315,0.7793398533007335,6,True,1.0,A0/S2_seed10.zip
A0,S2,11,0.8740125298500061,271678.0547785759,211729.53535616398,0.7793398533007335,2,True,1.0,A0/S2_seed11.zip
A0,S2,12,0.848666250705719,263799.4173693657,205589.39923346043,0.7793398533007335,2,True,1.0,A0/S2_seed12.zip
A0,S2,13,0.9272080659866333,283624.9353922099,229204.57382433713,0.8081256096449433,2,True,1.0,A0/S2_seed13.zip
A0,S2,14,0.8263723850250244,256869.5921611786,200188.71027231216,0.7793398533007335,2,True,1.0,A0/S2_seed14.zip
A0,S2,15,0.844096839427948,252898.2040472636,213963.31687194016,0.8460452207559092,2,True,1.0,A0/S2_seed15.zip
A0,S2,16,0.9820707440376282,282294.98934693844,260878.5184728333,0.9241344278775542,2,True,1.0,A0/S2_seed16.zip
A0,S2,17,0.8797237873077393,260947.68270367192,225618.7468183656,0.864612954139833,2,True,1.0,A0/S2_seed17.zip
A0,S2,18,0.968189537525177,269698.02175341814,265797.929556382,0.985539040399036,2,True,1.0,A0/S2_seed18.zip
A0,S2,19,0.8689253330230713,270096.7505168915,210497.16192483902,0.7793398533007335,4,True,1.0,A0/S2_seed19.zip
A0,S2,20,0.8364338874816895,259997.10958480835,202626.10924243927,0.7793398533007335,2,True,1.0,A0/S2_seed20.zip
A0,S2,21,0.8923355340957642,267326.9737488663,226214.8868041599,0.846210480116653,2,True,1.0,A0/S2_seed21.zip
A0,S2,22,0.8165132999420166,253804.99415397644,197800.34691095352,0.7793398533007335,2,True,1.0,A0/S2_seed22.zip
A0,S2,23,0.8700392842292786,256908.20567367683,224301.82204069485,0.8730815796736426,2,True,1.0,A0/S2_seed23.zip
A0,S2,24,0.9000107049942017,266990.4499107504,230796.47091449265,0.8644371774033244,2,True,1.0,A0/S2_seed24.zip
A0,S2,25,0.8842113614082336,260104.79447761207,228943.66740366787,0.8801977982123419,2,True,1.0,A0/S2_seed25.zip
A0,S2,26,0.8617322444915771,260549.76783717034,216065.71926867607,0.8292685158088708,2,True,1.0,A0/S2_seed26.zip
A0,S2,27,0.8380398750305176,260496.31475448608,203015.15972614288,0.7793398533007335,2,True,1.0,A0/S2_seed27.zip
A0,S2,28,0.9000967741012573,261016.85870188076,236817.66608578365,0.907288775382375,2,True,1.0,A0/S2_seed28.zip
A0,S2,29,0.867027759552002,253006.55440093757,226537.8291296792,0.8953832428020276,2,True,1.0,A0/S2_seed29.zip
A0,S3,0,0.7875481247901918,212480.4840683937,96514.02269303799,0.45422535211267606,2,True,1.0,A0/S3_seed0.zip
A0,S3,1,0.7562565803527833,204038.0253791809,92679.24392223358,0.45422535211267606,2,True,1.0,A0/S3_seed1.zip
A0,S3,2,0.8300632238388063,223951.0577917099,101724.2480814457,0.45422535211267606,2,True,1.0,A0/S3_seed2.zip
A0,S3,3,0.8349759578704835,225276.51343345642,102326.30363702774,0.45422535211267606,2,True,1.0,A0/S3_seed3.zip
A0,S3,4,0.8069510459899903,217715.39220809937,98891.8506860733,0.45422535211267606,2,True,1.0,A0/S3_seed4.zip
A0,S3,5,0.8175907135009767,220585.97450256348,100195.74193954468,0.45422535211267606,2,True,1.0,A0/S3_seed5.zip
A0,S3,6,0.7988671064376832,215534.3453168869,97901.16389393806,0.45422535211267606,2,True,1.0,A0/S3_seed6.zip
A0,S3,7,0.8353415727615358,225375.15633106232,102371.1097419262,0.45422535211267606,2,True,1.0,A0/S3_seed7.zip
A0,S3,8,0.7448334097862245,200956.05396032333,91279.3343693018,0.45422535211267606,2,True,1.0,A0/S3_seed8.zip
A0,S3,9,0.7916964292526246,213599.6966123581,97022.39740490913,0.45422535211267606,2,True,1.0,A0/S3_seed9.zip
A0,S3,10,0.7207265496253968,194452.02308893204,88325.03865659237,0.45422535211267606,2,True,1.0,A0/S3_seed10.zip
A0,S3,11,0.7951337099075318,214527.07493305206,97443.63614916801,0.45422535211267606,2,True,1.0,A0/S3_seed11.zip
A0,S3,12,0.7960221767425538,214766.783285141,97552.51775979996,0.45422535211267606,2,True,1.0,A0/S3_seed12.zip
A0,S3,13,0.8498376011848451,229286.18479967117,104147.59802520275,0.45422535211267606,2,True,1.0,A0/S3_seed13.zip
A0,S3,14,0.788261115550995,212672.84897565842,96601.39971077442,0.45422535211267606,2,True,1.0,A0/S3_seed14.zip
A0,S3,15,0.8014933466911317,216242.9049372673,98223.00963699818,0.45422535211267606,2,True,1.0,A0/S3_seed15.zip
A0,S3,16,0.9267989397048951,250050.35393238068,113579.21006083488,0.45422535211267606,2,True,1.0,A0/S3_seed16.zip
A0,S3,17,0.8010680079460145,216128.1485438347,98170.88437378407,0.45422535211267606,2,True,1.0,A0/S3_seed17.zip
A0,S3,18,0.8078783750534059,217965.58558940887,99005.49486279488,0.45422535211267606,2,True,1.0,A0/S3_seed18.zip
A0,S3,19,0.8254821300506593,222715.07868766785,101162.83503770828,0.45422535211267606,2,True,1.0,A0/S3_seed19.zip
A0,S3,20,0.8036684393882753,216829.74494695663,98489.56724703312,0.45422535211267606,2,True,1.0,A0/S3_seed20.zip
A0,S3,21,0.799953579902649,215827.47585773468,98034.31121706963,0.45422535211267606,2,True,1.0,A0/S3_seed21.zip
A0,S3,22,0.7801467180252076,210483.584523201,95606.98029398918,0.45422535211267606,2,True,1.0,A0/S3_seed22.zip
A0,S3,23,0.798958718776703,215559.06232595444,97912.39098608494,0.45422535211267606,2,True,1.0,A0/S3_seed23.zip
A0,S3,24,0.8006127476692201,216005.31932115555,98115.09222686291,0.45422535211267606,2,True,1.0,A0/S3_seed24.zip
A0,S3,25,0.8060354590415956,217468.36684942245,98779.64550554752,0.45422535211267606,2,True,1.0,A0/S3_seed25.zip
A0,S3,26,0.8017607331275941,216315.04579782486,98255.77784478664,0.45422535211267606,2,True,1.0,A0/S3_seed26.zip
A0,S3,27,0.8194783926010133,221095.27032375336,100427.07701325417,0.45422535211267606,2,True,1.0,A0/S3_seed27.zip
A0,S3,28,0.8846285939216615,238672.79464006424,108411.2341850996,0.45422535211267606,2,True,1.0,A0/S3_seed28.zip
