config,scenario,seed,final_poa,welfare_dc,welfare_mfg,shapley_fairness,n_rounds,convergence_rate
PPO_curr,S_AIR_M,0,0.9598254562619447,1869673.7422568651,1599421.1007295868,0.7363464416338971,14,0.9333333333333333
PPO_curr,S_AIR_M,1,0.7581311509821699,1517508.6888271759,1222602.9106529185,0.707155133716395,19,0.3333333333333333
PPO_curr,S_AIR_M,2,0.932943352394119,1836203.5006261328,1535731.4188678856,0.7447978093031047,15,0.9333333333333333
PPO_curr,S_AIR_M,3,0.9004758455591291,1755983.3558102176,1498604.331652113,0.707047022266724,15,0.9333333333333333
PPO_curr,S_AIR_M,4,0.7807275309818494,1486326.0839987083,1335455.557482916,0.68547798488368,18,0.3333333333333333
PPO_nocurr,S_AIR_M,0,0.9261244873859412,1799396.4424679193,1547893.0695923183,0.7375003698698398,17,0.7333333333333333
PPO_nocurr,S_AIR_M,1,0.8714482227864304,1690436.6451606185,1459236.5749806426,0.7263521009776492,16,0.7
PPO_nocurr,S_AIR_M,2,0.9644774850331082,1936379.5859768128,1549529.0734323864,0.7637434912503841,12,1.0
PPO_nocurr,S_AIR_M,3,0.9311441516997748,1848589.7258396572,1516842.346902875,0.7291798806822173,14,0.9666666666666667
PPO_nocurr,S_AIR_M,4,0.8899123608460591,1760118.3611060225,1456289.748910223,0.6887943164806197,16,0.8666666666666667
SAC_curr,S_AIR_M,0,0.9266847483094812,1832544.7054506836,1516769.7563208786,0.770155910801144,15,0.9
SAC_curr,S_AIR_M,1,0.898291411743641,1756208.8160728035,1490483.67749285,0.7452745735890323,16,0.8333333333333334
SAC_curr,S_AIR_M,2,0.9641488820781445,1820653.2612166412,1664067.7293210796,0.770152771859561,14,0.9
SAC_curr,S_AIR_M,3,0.9328678528654991,1698780.5192769708,1672881.5224519558,0.7418092179986584,12,0.9333333333333333
SAC_curr,S_AIR_M,4,0.9599618747052199,1862614.3330318022,1606973.566806775,0.7652320662610634,13,1.0
SAC_nocurr,S_AIR_M,0,0.8676567713282032,1649482.290016231,1486487.4962190432,0.8128807843569184,14,0.7666666666666667
SAC_nocurr,S_AIR_M,1,0.8849004627283517,1658585.9791209104,1539707.6395570606,0.7187392508897541,15,0.7666666666666667
SAC_nocurr,S_AIR_M,2,0.9353024913610448,1805076.3000494593,1575385.249750786,0.8437292524514878,14,0.9
SAC_nocurr,S_AIR_M,3,0.9242750595567429,1785369.1430036598,1555235.9864921332,0.7949695272814934,13,0.8666666666666667
SAC_nocurr,S_AIR_M,4,0.8690780940136817,1656951.89906597,1484154.9703402543,0.795289192815014,14,0.9
