rule_disabled,scenario,seed,PoA,Shapley_fairness,conv_rate,n_episodes,delta_PoA_vs_full,delta_Shapley_vs_full,delta_conv_vs_full
NONE_baseline,S1,0,1.0,0.0102,1.0,100,0.0,0.0,0.0
R1_phys,S1,0,1.0,0.0102,1.0,100,0.0,0.0,0.0
R2_thermal,S1,0,1.0,0.0102,1.0,100,0.0,0.0,0.0
R3_price,S1,0,1.0,0.0387,1.0,100,0.0,0.0286,0.0
R4_upgrade,S1,0,1.0,0.0102,1.0,100,0.0,0.0,0.0
NONE_baseline,S1,1,1.0,0.0102,1.0,100,0.0,0.0,0.0
R1_phys,S1,1,1.0,0.0102,1.0,100,0.0,0.0,0.0
R2_thermal,S1,1,1.0,0.0102,1.0,100,0.0,0.0,0.0
R3_price,S1,1,1.0,0.0387,1.0,100,0.0,0.0286,0.0
R4_upgrade,S1,1,1.0,0.0102,1.0,100,0.0,0.0,0.0
NONE_baseline,S1,2,0.9956,0.0102,1.0,100,0.0,0.0,0.0
R1_phys,S1,2,0.9956,0.0102,1.0,100,0.0,0.0,0.0
R2_thermal,S1,2,0.9956,0.0102,1.0,100,0.0,0.0,0.0
R3_price,S1,2,0.9956,0.0387,1.0,100,0.0,0.0286,0.0
R4_upgrade,S1,2,0.9956,0.0102,1.0,100,0.0,0.0,0.0
NONE_baseline,S4,0,1.0,0.9621,1.0,100,0.0,0.0,0.0
R1_phys,S4,0,1.0,0.9621,1.0,100,0.0,0.0,0.0
R2_thermal,S4,0,1.0,0.9621,1.0,100,0.0,0.0,0.0
R3_price,S4,0,1.0,0.9621,1.0,100,0.0,0.0,0.0
R4_upgrade,S4,0,1.0,0.9621,1.0,100,0.0,0.0,0.0
NONE_baseline,S4,1,1.0,0.7774,1.0,100,0.0,0.0,0.0
R1_phys,S4,1,1.0,0.7774,1.0,100,0.0,0.0,0.0
R2_thermal,S4,1,1.0,0.7774,1.0,100,0.0,0.0,0.0
R3_price,S4,1,1.0,0.7774,1.0,100,0.0,0.0,0.0
R4_upgrade,S4,1,1.0,0.7774,1.0,100,0.0,0.0,0.0
NONE_baseline,S4,2,1.0,0.9519,0.0,100,0.0,0.0,0.0
R1_phys,S4,2,1.0,0.9519,0.0,100,0.0,0.0,0.0
R2_thermal,S4,2,1.0,0.9519,0.0,100,0.0,0.0,0.0
R3_price,S4,2,1.0,0.9519,0.0,100,0.0,0.0,0.0
R4_upgrade,S4,2,1.0,0.9519,0.0,100,0.0,0.0,0.0
NONE_baseline,S7,0,1.0,0.8838,0.0,100,0.0,0.0,0.0
R1_phys,S7,0,1.0,0.8838,0.0,100,0.0,0.0,0.0
R2_thermal,S7,0,1.0,0.8838,0.0,100,0.0,0.0,0.0
R3_price,S7,0,1.0,0.8838,0.0,100,0.0,0.0,0.0
R4_upgrade,S7,0,1.0,0.8838,0.0,100,0.0,0.0,0.0
NONE_baseline,S7,1,1.0,0.7774,1.0,100,0.0,0.0,0.0
R1_phys,S7,1,1.0,0.7774,1.0,100,0.0,0.0,0.0
R2_thermal,S7,1,1.0,0.7774,1.0,100,0.0,0.0,0.0
R3_price,S7,1,1.0,0.7774,1.0,100,0.0,0.0,0.0
R4_upgrade,S7,1,1.0,0.7774,1.0,100,0.0,0.0,0.0
NONE_baseline,S7,2,1.0,0.9534,1.0,100,0.0,0.0,0.0
R1_phys,S7,2,1.0,0.9534,1.0,100,0.0,0.0,0.0
R2_thermal,S7,2,1.0,0.9534,1.0,100,0.0,0.0,0.0
R3_price,S7,2,1.0,0.9534,1.0,100,0.0,0.0,0.0
R4_upgrade,S7,2,1.0,0.9534,1.0,100,0.0,0.0,0.0
NONE_baseline,S_AIR_M,0,0.6977,0.7489,0.4,100,0.0,0.0,0.0
R1_phys,S_AIR_M,0,0.947,0.7139,0.28,100,0.2493,-0.0351,-0.12
R2_thermal,S_AIR_M,0,0.6977,0.7489,0.4,100,0.0,0.0,0.0
R3_price,S_AIR_M,0,0.6977,0.7489,0.4,100,0.0,0.0,0.0
R4_upgrade,S_AIR_M,0,0.6977,0.7489,0.4,100,0.0,0.0,0.0
NONE_baseline,S_AIR_M,1,0.8365,0.6915,0.87,100,0.0,0.0,0.0
R1_phys,S_AIR_M,1,0.9683,0.6443,0.25,100,0.1318,-0.0472,-0.62
R2_thermal,S_AIR_M,1,0.8365,0.6915,0.87,100,0.0,0.0,0.0
R3_price,S_AIR_M,1,0.8365,0.6915,0.87,100,0.0,0.0,0.0
R4_upgrade,S_AIR_M,1,0.8365,0.6915,0.87,100,0.0,0.0,0.0
NONE_baseline,S_AIR_M,2,0.7225,0.6427,0.62,100,0.0,0.0,0.0
R1_phys,S_AIR_M,2,0.9435,0.638,0.29,100,0.221,-0.0047,-0.33
R2_thermal,S_AIR_M,2,0.7225,0.6427,0.62,100,0.0,0.0,0.0
R3_price,S_AIR_M,2,0.7225,0.6427,0.62,100,0.0,0.0,0.0
R4_upgrade,S_AIR_M,2,0.7225,0.6427,0.62,100,0.0,0.0,0.0
